ANI	Phylum	Family
79.7433	Actinobacteria	Atopobiaceae
79.9028	Actinobacteria	Atopobiaceae
80.339	Actinobacteria	Atopobiaceae
78.3696	Actinobacteria	Atopobiaceae
79.4085	Actinobacteria	Atopobiaceae
78.9745	Actinobacteria	Atopobiaceae
81.5727	Actinobacteria	Atopobiaceae
78.9891	Actinobacteria	Atopobiaceae
78.3455	Actinobacteria	Atopobiaceae
79.9573	Actinobacteria	Atopobiaceae
78.9106	Actinobacteria	Atopobiaceae
79.8272	Actinobacteria	Atopobiaceae
79.2094	Actinobacteria	Atopobiaceae
81.1163	Actinobacteria	Atopobiaceae
79.4919	Actinobacteria	Atopobiaceae
80.2101	Actinobacteria	Atopobiaceae
81.4469	Actinobacteria	Atopobiaceae
78.5661	Actinobacteria	Atopobiaceae
82.0135	Actinobacteria	Atopobiaceae
80.9115	Actinobacteria	Atopobiaceae
79.6254	Actinobacteria	Atopobiaceae
80.4843	Actinobacteria	Atopobiaceae
80.6843	Actinobacteria	Atopobiaceae
79.4284	Actinobacteria	Atopobiaceae
78.577	Actinobacteria	Atopobiaceae
79.1766	Actinobacteria	Atopobiaceae
80.3811	Actinobacteria	Atopobiaceae
79.5007	Actinobacteria	Atopobiaceae
80.0969	Actinobacteria	Atopobiaceae
80.2747	Actinobacteria	Atopobiaceae
81.3083	Actinobacteria	Atopobiaceae
79.5515	Actinobacteria	Atopobiaceae
79.4806	Actinobacteria	Atopobiaceae
78.7859	Actinobacteria	Atopobiaceae
79.3166	Actinobacteria	Atopobiaceae
78.8889	Actinobacteria	Atopobiaceae
79.1284	Actinobacteria	Atopobiaceae
78.8986	Actinobacteria	Atopobiaceae
79.0342	Actinobacteria	Atopobiaceae
78.0933	Actinobacteria	Atopobiaceae
78.6087	Actinobacteria	Atopobiaceae
78.0045	Actinobacteria	Atopobiaceae
78.1091	Actinobacteria	Atopobiaceae
78.4159	Actinobacteria	Atopobiaceae
77.6186	Actinobacteria	Atopobiaceae
77.7424	Actinobacteria	Bifidobacteriaceae
79.2131	Actinobacteria	Bifidobacteriaceae
81.8563	Actinobacteria	Eggerthellaceae
80.4414	Actinobacteria	Eggerthellaceae
79.2384	Actinobacteria	Eggerthellaceae
79.8599	Actinobacteria	Eggerthellaceae
78.7495	Actinobacteria	Eggerthellaceae
78.8774	Actinobacteria	Eggerthellaceae
78.9727	Actinobacteria	Eggerthellaceae
78.247	Actinobacteria	Eggerthellaceae
82.1356	Actinobacteria	Eggerthellaceae
83.4491	Actinobacteria	Eggerthellaceae
79.9189	Actinobacteria	Eggerthellaceae
78.5811	Actinobacteria	Eggerthellaceae
77.8216	Actinobacteria	Eggerthellaceae
83.565	Actinobacteria	Eggerthellaceae
81.075	Actinobacteria	Eggerthellaceae
79.3236	Actinobacteria	Eggerthellaceae
79.4662	Actinobacteria	Eggerthellaceae
79.2311	Actinobacteria	Eggerthellaceae
78.3153	Actinobacteria	Eggerthellaceae
79.7463	Actinobacteria	Eggerthellaceae
79.1524	Actinobacteria	Eggerthellaceae
81.2035	Actinobacteria	Eggerthellaceae
78.5953	Actinobacteria	Eggerthellaceae
78.5158	Actinobacteria	Eggerthellaceae
78.8637	Actinobacteria	Eggerthellaceae
78.9125	Actinobacteria	Eggerthellaceae
80.2472	Actinobacteria	Eggerthellaceae
79.8075	Actinobacteria	Eggerthellaceae
88.0155	Actinobacteria	Eggerthellaceae
79.4079	Actinobacteria	Eggerthellaceae
78.6806	Actinobacteria	Eggerthellaceae
79.7742	Actinobacteria	Eggerthellaceae
79.3763	Actinobacteria	Eggerthellaceae
80.9484	Actinobacteria	Eggerthellaceae
80.565	Actinobacteria	Eggerthellaceae
78.4115	Actinobacteria	Eggerthellaceae
78.9838	Actinobacteria	Eggerthellaceae
78.2	Actinobacteria	Eggerthellaceae
83.7689	Actinobacteria	Eggerthellaceae
78.1657	Actinobacteria	Eggerthellaceae
78.2146	Actinobacteria	Eggerthellaceae
78.4926	Actinobacteria	Eggerthellaceae
80.1444	Actinobacteria	Eggerthellaceae
84.5587	Actinobacteria	Eggerthellaceae
79.9052	Actinobacteria	Eggerthellaceae
77.6753	Actinobacteria	Eggerthellaceae
78.5361	Actinobacteria	Eggerthellaceae
78.1268	Actinobacteria	Eggerthellaceae
78.0607	Actinobacteria	Eggerthellaceae
79.4383	Actinobacteria	Eggerthellaceae
80.1426	Actinobacteria	Eggerthellaceae
79.4159	Actinobacteria	Eggerthellaceae
78.1174	Actinobacteria	Eggerthellaceae
79.3892	Actinobacteria	Eggerthellaceae
79.283	Actinobacteria	Eggerthellaceae
78.9495	Actinobacteria	Eggerthellaceae
79.9552	Actinobacteria	Eggerthellaceae
78.033	Actinobacteria	Eggerthellaceae
78.5641	Actinobacteria	Eggerthellaceae
79.0984	Actinobacteria	Eggerthellaceae
79.0982	Actinobacteria	Eggerthellaceae
78.452	Actinobacteria	Eggerthellaceae
78.72	Actinobacteria	Eggerthellaceae
78.2618	Actinobacteria	Eggerthellaceae
79.1525	Actinobacteria	Eggerthellaceae
79.5201	Actinobacteria	Eggerthellaceae
78.9321	Actinobacteria	Eggerthellaceae
79.306	Actinobacteria	Eggerthellaceae
79.9344	Actinobacteria	Eggerthellaceae
78.3693	Actinobacteria	Eggerthellaceae
79.3142	Actinobacteria	Eggerthellaceae
78.6433	Actinobacteria	Eggerthellaceae
78.5656	Actinobacteria	Eggerthellaceae
79.4669	Actinobacteria	Eggerthellaceae
79.4935	Actinobacteria	Eggerthellaceae
79.6052	Actinobacteria	Eggerthellaceae
81.0283	Bacteroidetes	Bacteroidaceae
81.8081	Bacteroidetes	Bacteroidaceae
80.901	Bacteroidetes	Bacteroidaceae
80.1055	Bacteroidetes	Bacteroidaceae
77.478	Bacteroidetes	Bacteroidaceae
77.7167	Bacteroidetes	Bacteroidaceae
77.533	Bacteroidetes	Bacteroidaceae
77.6314	Bacteroidetes	Bacteroidaceae
81.7092	Bacteroidetes	Bacteroidaceae
79.7933	Bacteroidetes	Bacteroidaceae
80.1454	Bacteroidetes	Bacteroidaceae
79.2408	Bacteroidetes	Bacteroidaceae
79.9789	Bacteroidetes	Bacteroidaceae
79.7155	Bacteroidetes	Bacteroidaceae
79.9097	Bacteroidetes	Bacteroidaceae
79.6476	Bacteroidetes	Bacteroidaceae
84.3811	Bacteroidetes	Bacteroidaceae
77.934	Bacteroidetes	Bacteroidaceae
77.4043	Bacteroidetes	Bacteroidaceae
77.4902	Bacteroidetes	Bacteroidaceae
77.5897	Bacteroidetes	Bacteroidaceae
77.4587	Bacteroidetes	Bacteroidaceae
77.6021	Bacteroidetes	Bacteroidaceae
79.958	Bacteroidetes	Bacteroidaceae
77.3222	Bacteroidetes	Bacteroidaceae
82.5117	Bacteroidetes	Bacteroidaceae
76.8205	Bacteroidetes	Bacteroidaceae
77.6538	Bacteroidetes	Bacteroidaceae
77.9973	Bacteroidetes	Bacteroidaceae
78.0294	Bacteroidetes	Bacteroidaceae
77.1777	Bacteroidetes	Bacteroidaceae
94.2969	Bacteroidetes	Bacteroidaceae
81.8804	Bacteroidetes	Bacteroidaceae
77.2682	Bacteroidetes	Bacteroidaceae
77.4784	Bacteroidetes	Bacteroidaceae
77.583	Bacteroidetes	Bacteroidaceae
77.4186	Bacteroidetes	Bacteroidaceae
77.5965	Bacteroidetes	Bacteroidaceae
81.6749	Bacteroidetes	Bacteroidaceae
91.3084	Bacteroidetes	Bacteroidaceae
77.8777	Bacteroidetes	Bacteroidaceae
77.6355	Bacteroidetes	Bacteroidaceae
77.6319	Bacteroidetes	Bacteroidaceae
77.8623	Bacteroidetes	Bacteroidaceae
81.744	Bacteroidetes	Bacteroidaceae
79.5367	Bacteroidetes	Bacteroidaceae
79.227	Bacteroidetes	Bacteroidaceae
79.1921	Bacteroidetes	Bacteroidaceae
87.6637	Bacteroidetes	Bacteroidaceae
88.478	Bacteroidetes	Bacteroidaceae
