Estimated genomic size	GC content	Phylum
1.811684859	50.25	Actinobacteria
2.942378407	69.46	Actinobacteria
3.260308424	73.68	Actinobacteria
2.385598	67.2	Actinobacteria
2.999763726	62.74	Actinobacteria
2.181456961	64.42	Actinobacteria
2.037600602	60.97	Actinobacteria
2.793927869	62.52	Actinobacteria
3.325335745	60.41	Actinobacteria
1.939232417	63.29	Actinobacteria
2.791877198	64.99	Actinobacteria
2.625074885	64.46	Actinobacteria
2.675397986	61.43	Actinobacteria
2.966918574	61.59	Actinobacteria
2.276010339	65.28	Actinobacteria
1.838992157	49.45	Actinobacteria
1.220241174	64.33	Actinobacteria
0.947041701	50.12	Actinobacteria
1.741920577	63.95	Actinobacteria
2.182004692	60.54	Actinobacteria
1.57757641	47.96	Actinobacteria
2.344749873	60.55	Actinobacteria
2.959088036	60.3	Actinobacteria
2.882861	60.96	Actinobacteria
1.644739226	61.18	Actinobacteria
2.531526959	62.64	Actinobacteria
2.648949856	62.02	Actinobacteria
1.672201706	59.05	Actinobacteria
2.620098828	58.01	Actinobacteria
2.818999789	60.83	Actinobacteria
2.504318246	61.59	Actinobacteria
1.495136369	57.54	Actinobacteria
4.136140171	60.76	Actinobacteria
1.559680262	62.54	Actinobacteria
2.917963	58.08	Actinobacteria
2.768916017	60.39	Actinobacteria
1.518784212	47.1	Actinobacteria
2.386615126	61.6	Actinobacteria
1.772689507	59.11	Actinobacteria
1.98466452	49.28	Actinobacteria
1.409995773	59.27	Actinobacteria
2.226669906	64.36	Actinobacteria
1.639355227	52.05	Actinobacteria
1.662435125	60.59	Actinobacteria
2.392463153	64.1	Actinobacteria
2.13963	63.98	Actinobacteria
2.95043088	61.45	Actinobacteria
6.352106238	64.55	Actinobacteria
4.449960181	67.18	Actinobacteria
3.745498908	70.82	Actinobacteria
2.232454145	59.84	Actinobacteria
2.611804731	55.19	Actinobacteria
1.859839929	55.97	Actinobacteria
2.748740614	57.86	Actinobacteria
2.655034	54.86	Actinobacteria
2.954740688	60.43	Actinobacteria
3.065332623	66.05	Actinobacteria
3.094565826	46.94	Bacteroidetes
2.670145551	47.92	Bacteroidetes
2.769488105	43.62	Bacteroidetes
2.547998856	49.21	Bacteroidetes
2.685529059	44.97	Bacteroidetes
4.051522535	47.28	Bacteroidetes
3.086240256	40.09	Bacteroidetes
2.496499451	44.34	Bacteroidetes
