cluster	Sheep_MAG	NHP	RUG	Uhgg	RGIG
clu_1	0	0	0	1	0
clu_2	0	0	0	1	0
clu_3	0	0	0	1	0
clu_4	0	0	0	1	0
clu_5	0	0	0	0	1
clu_6	0	0	0	0	1
clu_7	0	0	0	0	1
clu_8	0	1	0	1	0
clu_9	0	1	0	0	0
clu_10	0	1	0	0	0
clu_11	0	1	0	0	0
clu_12	0	1	0	0	0
clu_13	0	0	0	1	0
clu_14	0	1	0	0	0
clu_15	0	0	0	1	0
clu_16	0	1	0	0	0
clu_17	0	1	0	0	0
clu_18	0	0	0	1	0
clu_19	1	0	0	1	0
clu_20	0	0	0	1	0
clu_21	0	0	0	1	0
clu_22	0	0	0	0	1
clu_23	0	0	0	1	0
clu_24	0	0	0	0	1
clu_25	0	1	0	0	0
clu_26	0	1	0	0	0
clu_27	1	0	0	0	1
clu_28	0	0	0	0	1
clu_29	0	0	0	0	1
clu_30	0	0	0	0	1
clu_31	0	0	0	0	1
clu_32	0	0	0	0	1
clu_33	0	0	0	0	1
clu_34	0	0	0	0	1
clu_35	0	0	0	0	1
clu_36	0	0	0	0	1
clu_37	0	0	0	0	1
clu_38	0	0	0	0	1
clu_39	0	0	0	0	1
clu_40	0	0	0	0	1
clu_41	0	0	0	0	1
clu_42	0	0	0	0	1
clu_43	0	0	0	0	1
clu_44	0	0	0	0	1
clu_45	0	0	0	0	1
clu_46	0	0	0	0	1
clu_47	0	0	0	0	1
clu_48	0	0	0	0	1
clu_49	0	0	0	0	1
clu_50	0	0	0	0	1
clu_51	0	1	0	0	0
clu_52	0	1	0	0	0
clu_53	0	0	1	0	0
clu_54	1	0	1	0	0
clu_55	0	0	0	0	1
clu_56	0	0	1	0	0
clu_57	0	1	0	0	0
clu_58	0	1	0	0	0
clu_59	0	0	1	0	0
clu_60	0	1	0	1	0
clu_61	0	1	0	0	0
clu_62	0	1	0	0	0
clu_63	0	1	0	0	0
clu_64	0	1	0	0	0
clu_65	1	0	0	0	1
clu_66	0	0	0	0	1
clu_67	0	0	0	0	1
clu_68	0	0	1	0	0
clu_69	1	0	0	0	0
clu_70	0	0	0	1	0
clu_71	0	0	0	1	0
clu_72	0	0	0	1	0
clu_73	0	0	0	0	1
clu_74	0	0	0	0	1
clu_75	0	0	0	0	1
clu_76	0	0	0	0	1
clu_77	0	0	0	0	1
clu_78	0	0	0	0	1
clu_79	0	0	0	0	1
clu_80	0	0	0	0	1
clu_81	0	0	0	0	1
clu_82	0	0	0	0	1
clu_83	0	0	0	0	1
clu_84	0	0	0	0	1
clu_85	0	0	0	0	1
clu_86	0	0	0	0	1
clu_87	0	0	0	0	1
clu_88	0	0	0	0	1
clu_89	0	1	0	0	0
clu_90	0	1	0	0	0
clu_91	0	1	0	0	0
clu_92	0	1	0	0	0
clu_93	0	0	0	1	0
clu_94	0	0	0	1	0
clu_95	1	0	0	0	1
clu_96	0	0	0	0	1
clu_97	0	0	0	0	1
clu_98	0	0	0	0	1
clu_99	0	0	0	0	1
clu_100	0	0	0	0	1
clu_101	0	0	0	0	1
clu_102	1	0	0	0	0
clu_103	0	0	0	0	1
clu_104	0	0	0	0	1
clu_105	1	0	0	0	0
clu_106	1	0	0	0	0
clu_107	1	0	0	0	0
clu_108	0	0	0	0	1
clu_109	1	0	0	0	0
clu_110	0	0	0	0	1
clu_111	0	0	0	1	0
clu_112	1	0	0	0	0
clu_113	0	0	1	0	0
clu_114	1	0	0	0	0
clu_115	1	0	0	0	0
clu_116	1	0	0	0	0
clu_117	0	0	0	1	0
clu_118	0	0	0	1	0
clu_119	0	0	0	1	0
clu_120	0	1	0	1	0
clu_121	0	0	0	1	0
clu_122	0	0	0	1	0
clu_123	0	0	0	1	0
clu_124	1	0	0	0	0
clu_125	0	0	1	0	0
clu_126	0	1	0	0	0
clu_127	0	0	0	0	1
clu_128	0	0	0	0	1
clu_129	0	0	0	1	0
clu_130	0	0	0	1	0
clu_131	0	0	0	1	0
clu_132	0	0	0	1	0
