ID	phylum
AH1.bin091	Actinobacteria
AH1.bin153	Actinobacteria
AH1.bin171	Actinobacteria
AH2.bin130	Actinobacteria
AH3.bin060	Actinobacteria
AH3.bin173	Actinobacteria
AH3.bin175	Actinobacteria
AH4.bin047	Actinobacteria
AH4.bin107	Actinobacteria
AH4.bin136	Actinobacteria
AH5.bin048	Actinobacteria
AH5.bin054	Actinobacteria
AH5.bin141	Actinobacteria
GX1.bin096	Actinobacteria
GX1.bin099	Actinobacteria
GX1.bin147	Actinobacteria
GX2.bin014	Actinobacteria
GX2.bin020	Actinobacteria
GX2.bin032	Actinobacteria
GX2.bin089	Actinobacteria
GX2.bin137	Actinobacteria
GX2.bin152	Actinobacteria
GX2.bin155	Actinobacteria
GX3.bin027	Actinobacteria
GX3.bin047	Actinobacteria
GX3.bin169	Actinobacteria
GX4.bin026	Actinobacteria
GX4.bin082	Actinobacteria
GX4.bin084	Actinobacteria
GX4.bin085	Actinobacteria
GX4.bin095	Actinobacteria
GX4.bin137	Actinobacteria
GX5.bin057	Actinobacteria
GX5.bin065	Actinobacteria
GX5.bin123	Actinobacteria
JL2.bin077	Actinobacteria
JL2.bin171	Actinobacteria
JL3.bin040	Actinobacteria
JL4.bin148	Actinobacteria
JL4.bin156	Actinobacteria
JL5.bin012	Actinobacteria
JL5.bin032	Actinobacteria
JL5.bin123	Actinobacteria
SD2.bin152	Actinobacteria
SD3.bin123	Actinobacteria
SD5.bin050	Actinobacteria
SD5.bin061	Actinobacteria
SD5.bin145	Actinobacteria
SX1.bin007	Actinobacteria
SX1.bin094	Actinobacteria
SX1.bin110	Actinobacteria
SX2.bin079	Actinobacteria
SX4.bin038	Actinobacteria
SX4.bin058	Actinobacteria
SX4.bin079	Actinobacteria
SX4.bin083	Actinobacteria
SX4.bin085	Actinobacteria
SX4.bin118	Actinobacteria
XZ1.bin161	Actinobacteria
XZ1.bin164	Actinobacteria
XZ1.bin171	Actinobacteria
XZ2.bin023	Actinobacteria
XZ2.bin079	Actinobacteria
XZ2.bin081	Actinobacteria
XZ2.bin092	Actinobacteria
XZ2.bin121	Actinobacteria
XZ2.bin143	Actinobacteria
XZ3.bin021	Actinobacteria
XZ3.bin051	Actinobacteria
XZ3.bin054	Actinobacteria
XZ3.bin103	Actinobacteria
XZ4.bin042	Actinobacteria
XZ4.bin047	Actinobacteria
XZ5.bin041	Actinobacteria
XZ5.bin045	Actinobacteria
XZ5.bin054	Actinobacteria
XZ5.bin082	Actinobacteria
XZ5.bin083	Actinobacteria
XZ5.bin084	Actinobacteria
XZ5.bin112	Actinobacteria
XZ5.bin124	Actinobacteria
XZ5.bin129	Actinobacteria
AH1.bin010	Bacteroidetes
AH1.bin013	Bacteroidetes
AH1.bin014	Bacteroidetes
AH1.bin023	Bacteroidetes
AH1.bin024	Bacteroidetes
AH1.bin029	Bacteroidetes
AH1.bin035	Bacteroidetes
AH1.bin037	Bacteroidetes
AH1.bin050	Bacteroidetes
AH1.bin055	Bacteroidetes
AH1.bin067	Bacteroidetes
AH1.bin078	Bacteroidetes
AH1.bin079	Bacteroidetes
AH1.bin084	Bacteroidetes
AH1.bin093	Bacteroidetes
AH1.bin136	Bacteroidetes
AH1.bin154	Bacteroidetes
AH2.bin006	Bacteroidetes
AH2.bin020	Bacteroidetes
AH2.bin028	Bacteroidetes
AH2.bin029	Bacteroidetes
AH2.bin034	Bacteroidetes
AH2.bin037	Bacteroidetes
AH2.bin044	Bacteroidetes
AH2.bin045	Bacteroidetes
AH2.bin059	Bacteroidetes
AH2.bin071	Bacteroidetes
AH2.bin079	Bacteroidetes
AH2.bin084	Bacteroidetes
AH2.bin087	Bacteroidetes
AH2.bin113	Bacteroidetes
AH2.bin119	Bacteroidetes
AH2.bin121	Bacteroidetes
AH2.bin126	Bacteroidetes
AH2.bin136	Bacteroidetes
AH2.bin149	Bacteroidetes
AH2.bin152	Bacteroidetes
AH2.bin156	Bacteroidetes
AH2.bin164	Bacteroidetes
AH2.bin165	Bacteroidetes
AH2.bin170	Bacteroidetes
AH2.bin172	Bacteroidetes
AH2.bin175	Bacteroidetes
AH2.bin188	Bacteroidetes
AH2.bin190	Bacteroidetes
AH3.bin003	Bacteroidetes
AH3.bin010	Bacteroidetes
AH3.bin020	Bacteroidetes
AH3.bin027	Bacteroidetes
AH3.bin039	Bacteroidetes
AH3.bin042	Bacteroidetes
AH3.bin067	Bacteroidetes
AH3.bin089	Bacteroidetes
AH3.bin090	Bacteroidetes
AH3.bin104	Bacteroidetes
AH3.bin117	Bacteroidetes
AH3.bin139	Bacteroidetes
AH3.bin142	Bacteroidetes
AH3.bin143	Bacteroidetes
AH3.bin144	Bacteroidetes
AH3.bin145	Bacteroidetes
AH3.bin152	Bacteroidetes
AH3.bin154	Bacteroidetes
AH3.bin157	Bacteroidetes
AH3.bin158	Bacteroidetes
AH3.bin164	Bacteroidetes
AH3.bin189	Bacteroidetes
AH3.bin194	Bacteroidetes
AH3.bin211	Bacteroidetes
AH3.bin212	Bacteroidetes
AH3.bin214	Bacteroidetes
AH4.bin005	Bacteroidetes
AH4.bin015	Bacteroidetes
AH4.bin018	Bacteroidetes
AH4.bin024	Bacteroidetes
AH4.bin067	Bacteroidetes
AH4.bin104	Bacteroidetes
AH4.bin115	Bacteroidetes
AH4.bin127	Bacteroidetes
AH4.bin135	Bacteroidetes
AH4.bin152	Bacteroidetes
AH4.bin154	Bacteroidetes
AH4.bin179	Bacteroidetes
AH4.bin189	Bacteroidetes
AH4.bin190	Bacteroidetes
AH4.bin199	Bacteroidetes
AH5.bin016	Bacteroidetes
AH5.bin022	Bacteroidetes
AH5.bin041	Bacteroidetes
AH5.bin051	Bacteroidetes
AH5.bin061	Bacteroidetes
AH5.bin069	Bacteroidetes
AH5.bin078	Bacteroidetes
AH5.bin096	Bacteroidetes
AH5.bin108	Bacteroidetes
AH5.bin118	Bacteroidetes
AH5.bin124	Bacteroidetes
AH5.bin127	Bacteroidetes
AH5.bin129	Bacteroidetes
AH5.bin144	Bacteroidetes
AH5.bin160	Bacteroidetes
AH5.bin165	Bacteroidetes
AH5.bin171	Bacteroidetes
GX1.bin003	Bacteroidetes
GX1.bin007	Bacteroidetes
GX1.bin008	Bacteroidetes
GX1.bin016	Bacteroidetes
GX1.bin033	Bacteroidetes
GX1.bin037	Bacteroidetes
GX1.bin038	Bacteroidetes
GX1.bin052	Bacteroidetes
GX1.bin060	Bacteroidetes
GX1.bin061	Bacteroidetes
GX1.bin069	Bacteroidetes
GX1.bin070	Bacteroidetes
GX1.bin077	Bacteroidetes
GX1.bin086	Bacteroidetes
GX1.bin090	Bacteroidetes
GX1.bin103	Bacteroidetes
GX1.bin108	Bacteroidetes
GX1.bin112	Bacteroidetes
GX1.bin124	Bacteroidetes
GX1.bin133	Bacteroidetes
GX1.bin143	Bacteroidetes
GX1.bin144	Bacteroidetes
GX1.bin148	Bacteroidetes
GX1.bin151	Bacteroidetes
GX1.bin154	Bacteroidetes
GX1.bin156	Bacteroidetes
GX1.bin160	Bacteroidetes
GX1.bin161	Bacteroidetes
GX1.bin162	Bacteroidetes
GX1.bin163	Bacteroidetes
GX1.bin164	Bacteroidetes
GX2.bin001	Bacteroidetes
GX2.bin004	Bacteroidetes
GX2.bin012	Bacteroidetes
GX2.bin013	Bacteroidetes
GX2.bin031	Bacteroidetes
GX2.bin034	Bacteroidetes
GX2.bin036	Bacteroidetes
GX2.bin047	Bacteroidetes
GX2.bin056	Bacteroidetes
GX2.bin062	Bacteroidetes
GX2.bin070	Bacteroidetes
GX2.bin079	Bacteroidetes
GX2.bin085	Bacteroidetes
GX2.bin088	Bacteroidetes
GX2.bin093	Bacteroidetes
GX2.bin101	Bacteroidetes
GX2.bin104	Bacteroidetes
GX2.bin114	Bacteroidetes
GX2.bin116	Bacteroidetes
GX2.bin118	Bacteroidetes
GX2.bin120	Bacteroidetes
GX2.bin121	Bacteroidetes
GX2.bin122	Bacteroidetes
GX2.bin123	Bacteroidetes
GX2.bin125	Bacteroidetes
GX2.bin140	Bacteroidetes
GX2.bin141	Bacteroidetes
GX2.bin143	Bacteroidetes
GX2.bin150	Bacteroidetes
GX2.bin160	Bacteroidetes
GX2.bin161	Bacteroidetes
GX2.bin163	Bacteroidetes
GX2.bin164	Bacteroidetes
GX2.bin167	Bacteroidetes
GX2.bin172	Bacteroidetes
GX3.bin011	Bacteroidetes
GX3.bin015	Bacteroidetes
GX3.bin021	Bacteroidetes
GX3.bin029	Bacteroidetes
GX3.bin035	Bacteroidetes
GX3.bin041	Bacteroidetes
GX3.bin043	Bacteroidetes
GX3.bin048	Bacteroidetes
GX3.bin069	Bacteroidetes
GX3.bin072	Bacteroidetes
GX3.bin081	Bacteroidetes
GX3.bin084	Bacteroidetes
GX3.bin090	Bacteroidetes
GX3.bin093	Bacteroidetes
GX3.bin099	Bacteroidetes
GX3.bin106	Bacteroidetes
GX3.bin107	Bacteroidetes
GX3.bin112	Bacteroidetes
GX3.bin128	Bacteroidetes
GX3.bin130	Bacteroidetes
GX3.bin132	Bacteroidetes
GX3.bin154	Bacteroidetes
GX3.bin156	Bacteroidetes
GX3.bin160	Bacteroidetes
GX3.bin161	Bacteroidetes
GX3.bin164	Bacteroidetes
GX3.bin167	Bacteroidetes
GX3.bin171	Bacteroidetes
GX3.bin177	Bacteroidetes
GX4.bin004	Bacteroidetes
GX4.bin006	Bacteroidetes
GX4.bin012	Bacteroidetes
GX4.bin016	Bacteroidetes
GX4.bin036	Bacteroidetes
GX4.bin040	Bacteroidetes
GX4.bin047	Bacteroidetes
GX4.bin049	Bacteroidetes
GX4.bin050	Bacteroidetes
GX4.bin051	Bacteroidetes
GX4.bin056	Bacteroidetes
GX4.bin057	Bacteroidetes
GX4.bin058	Bacteroidetes
GX4.bin067	Bacteroidetes
GX4.bin071	Bacteroidetes
GX4.bin074	Bacteroidetes
GX4.bin076	Bacteroidetes
GX4.bin080	Bacteroidetes
GX4.bin096	Bacteroidetes
GX4.bin101	Bacteroidetes
GX4.bin108	Bacteroidetes
GX4.bin109	Bacteroidetes
GX4.bin111	Bacteroidetes
GX4.bin119	Bacteroidetes
GX4.bin120	Bacteroidetes
GX4.bin123	Bacteroidetes
GX4.bin143	Bacteroidetes
GX4.bin144	Bacteroidetes
GX4.bin150	Bacteroidetes
GX4.bin152	Bacteroidetes
GX4.bin153	Bacteroidetes
GX4.bin154	Bacteroidetes
GX4.bin155	Bacteroidetes
GX5.bin001	Bacteroidetes
GX5.bin006	Bacteroidetes
GX5.bin011	Bacteroidetes
GX5.bin015	Bacteroidetes
GX5.bin016	Bacteroidetes
GX5.bin017	Bacteroidetes
GX5.bin022	Bacteroidetes
GX5.bin025	Bacteroidetes
GX5.bin026	Bacteroidetes
GX5.bin028	Bacteroidetes
GX5.bin035	Bacteroidetes
GX5.bin043	Bacteroidetes
GX5.bin048	Bacteroidetes
GX5.bin053	Bacteroidetes
GX5.bin061	Bacteroidetes
GX5.bin069	Bacteroidetes
GX5.bin072	Bacteroidetes
GX5.bin073	Bacteroidetes
GX5.bin081	Bacteroidetes
GX5.bin084	Bacteroidetes
GX5.bin085	Bacteroidetes
GX5.bin087	Bacteroidetes
GX5.bin088	Bacteroidetes
GX5.bin091	Bacteroidetes
GX5.bin092	Bacteroidetes
GX5.bin093	Bacteroidetes
GX5.bin097	Bacteroidetes
GX5.bin101	Bacteroidetes
GX5.bin116	Bacteroidetes
GX5.bin121	Bacteroidetes
GX5.bin122	Bacteroidetes
GX5.bin138	Bacteroidetes
GX5.bin140	Bacteroidetes
JL1.bin011	Bacteroidetes
JL1.bin019	Bacteroidetes
JL1.bin021	Bacteroidetes
JL1.bin023	Bacteroidetes
JL1.bin028	Bacteroidetes
JL1.bin042	Bacteroidetes
JL1.bin050	Bacteroidetes
JL1.bin051	Bacteroidetes
JL1.bin064	Bacteroidetes
JL1.bin074	Bacteroidetes
JL1.bin075	Bacteroidetes
JL1.bin079	Bacteroidetes
JL1.bin081	Bacteroidetes
JL1.bin085	Bacteroidetes
JL1.bin090	Bacteroidetes
JL1.bin096	Bacteroidetes
JL1.bin097	Bacteroidetes
JL1.bin099	Bacteroidetes
JL1.bin100	Bacteroidetes
JL1.bin107	Bacteroidetes
JL1.bin110	Bacteroidetes
JL1.bin114	Bacteroidetes
JL1.bin117	Bacteroidetes
JL1.bin118	Bacteroidetes
JL1.bin125	Bacteroidetes
JL1.bin130	Bacteroidetes
JL1.bin136	Bacteroidetes
JL1.bin140	Bacteroidetes
JL1.bin141	Bacteroidetes
JL1.bin149	Bacteroidetes
JL1.bin153	Bacteroidetes
JL1.bin157	Bacteroidetes
JL1.bin168	Bacteroidetes
JL1.bin173	Bacteroidetes
JL1.bin174	Bacteroidetes
JL1.bin176	Bacteroidetes
JL1.bin181	Bacteroidetes
JL1.bin183	Bacteroidetes
JL1.bin186	Bacteroidetes
JL2.bin002	Bacteroidetes
JL2.bin004	Bacteroidetes
JL2.bin006	Bacteroidetes
JL2.bin010	Bacteroidetes
JL2.bin011	Bacteroidetes
JL2.bin014	Bacteroidetes
JL2.bin018	Bacteroidetes
JL2.bin019	Bacteroidetes
JL2.bin025	Bacteroidetes
JL2.bin027	Bacteroidetes
JL2.bin031	Bacteroidetes
JL2.bin045	Bacteroidetes
JL2.bin068	Bacteroidetes
JL2.bin072	Bacteroidetes
JL2.bin082	Bacteroidetes
JL2.bin084	Bacteroidetes
JL2.bin093	Bacteroidetes
JL2.bin096	Bacteroidetes
JL2.bin101	Bacteroidetes
JL2.bin107	Bacteroidetes
JL2.bin112	Bacteroidetes
JL2.bin116	Bacteroidetes
JL2.bin120	Bacteroidetes
JL2.bin135	Bacteroidetes
JL2.bin136	Bacteroidetes
JL2.bin148	Bacteroidetes
JL2.bin150	Bacteroidetes
JL2.bin154	Bacteroidetes
JL2.bin157	Bacteroidetes
JL2.bin160	Bacteroidetes
JL2.bin161	Bacteroidetes
JL2.bin163	Bacteroidetes
JL2.bin167	Bacteroidetes
JL3.bin001	Bacteroidetes
JL3.bin006	Bacteroidetes
JL3.bin007	Bacteroidetes
JL3.bin009	Bacteroidetes
JL3.bin010	Bacteroidetes
JL3.bin012	Bacteroidetes
JL3.bin018	Bacteroidetes
JL3.bin019	Bacteroidetes
JL3.bin030	Bacteroidetes
JL3.bin043	Bacteroidetes
JL3.bin044	Bacteroidetes
JL3.bin046	Bacteroidetes
JL3.bin049	Bacteroidetes
JL3.bin050	Bacteroidetes
JL3.bin051	Bacteroidetes
JL3.bin059	Bacteroidetes
JL3.bin064	Bacteroidetes
JL3.bin070	Bacteroidetes
JL3.bin072	Bacteroidetes
JL3.bin073	Bacteroidetes
JL3.bin078	Bacteroidetes
JL3.bin080	Bacteroidetes
JL3.bin085	Bacteroidetes
JL3.bin087	Bacteroidetes
JL3.bin090	Bacteroidetes
JL3.bin097	Bacteroidetes
JL3.bin099	Bacteroidetes
JL3.bin100	Bacteroidetes
JL3.bin106	Bacteroidetes
JL3.bin109	Bacteroidetes
JL3.bin110	Bacteroidetes
JL3.bin111	Bacteroidetes
JL4.bin002	Bacteroidetes
JL4.bin004	Bacteroidetes
JL4.bin005	Bacteroidetes
JL4.bin006	Bacteroidetes
JL4.bin007	Bacteroidetes
JL4.bin018	Bacteroidetes
JL4.bin025	Bacteroidetes
JL4.bin026	Bacteroidetes
JL4.bin027	Bacteroidetes
JL4.bin028	Bacteroidetes
JL4.bin031	Bacteroidetes
JL4.bin048	Bacteroidetes
JL4.bin055	Bacteroidetes
JL4.bin060	Bacteroidetes
JL4.bin067	Bacteroidetes
JL4.bin069	Bacteroidetes
JL4.bin071	Bacteroidetes
JL4.bin089	Bacteroidetes
JL4.bin096	Bacteroidetes
JL4.bin101	Bacteroidetes
JL4.bin112	Bacteroidetes
JL4.bin122	Bacteroidetes
JL4.bin143	Bacteroidetes
JL4.bin157	Bacteroidetes
JL4.bin158	Bacteroidetes
JL4.bin159	Bacteroidetes
JL4.bin165	Bacteroidetes
JL5.bin001	Bacteroidetes
JL5.bin002	Bacteroidetes
JL5.bin024	Bacteroidetes
JL5.bin027	Bacteroidetes
JL5.bin046	Bacteroidetes
JL5.bin049	Bacteroidetes
JL5.bin068	Bacteroidetes
JL5.bin089	Bacteroidetes
JL5.bin097	Bacteroidetes
JL5.bin105	Bacteroidetes
JL5.bin109	Bacteroidetes
JL5.bin110	Bacteroidetes
JL5.bin113	Bacteroidetes
JL5.bin118	Bacteroidetes
JL5.bin119	Bacteroidetes
JL5.bin122	Bacteroidetes
JL5.bin125	Bacteroidetes
JL5.bin139	Bacteroidetes
JL5.bin147	Bacteroidetes
JL5.bin154	Bacteroidetes
JL5.bin158	Bacteroidetes
JL5.bin160	Bacteroidetes
JL5.bin161	Bacteroidetes
JL5.bin162	Bacteroidetes
SD1.bin008	Bacteroidetes
SD1.bin011	Bacteroidetes
SD1.bin018	Bacteroidetes
SD1.bin019	Bacteroidetes
SD1.bin024	Bacteroidetes
SD1.bin025	Bacteroidetes
SD1.bin030	Bacteroidetes
SD1.bin034	Bacteroidetes
SD1.bin035	Bacteroidetes
SD1.bin040	Bacteroidetes
SD1.bin041	Bacteroidetes
SD1.bin045	Bacteroidetes
SD1.bin057	Bacteroidetes
SD1.bin075	Bacteroidetes
SD1.bin084	Bacteroidetes
SD1.bin097	Bacteroidetes
SD1.bin098	Bacteroidetes
SD1.bin104	Bacteroidetes
SD1.bin110	Bacteroidetes
SD1.bin112	Bacteroidetes
SD1.bin113	Bacteroidetes
SD1.bin115	Bacteroidetes
SD1.bin118	Bacteroidetes
SD1.bin125	Bacteroidetes
SD1.bin126	Bacteroidetes
SD1.bin131	Bacteroidetes
SD1.bin138	Bacteroidetes
SD1.bin140	Bacteroidetes
SD1.bin143	Bacteroidetes
SD1.bin147	Bacteroidetes
SD1.bin149	Bacteroidetes
SD1.bin155	Bacteroidetes
SD1.bin160	Bacteroidetes
SD1.bin161	Bacteroidetes
SD1.bin163	Bacteroidetes
SD1.bin167	Bacteroidetes
SD1.bin174	Bacteroidetes
SD1.bin175	Bacteroidetes
SD1.bin176	Bacteroidetes
SD1.bin187	Bacteroidetes
SD1.bin188	Bacteroidetes
SD1.bin194	Bacteroidetes
SD2.bin001	Bacteroidetes
SD2.bin002	Bacteroidetes
SD2.bin011	Bacteroidetes
SD2.bin014	Bacteroidetes
SD2.bin020	Bacteroidetes
SD2.bin031	Bacteroidetes
SD2.bin034	Bacteroidetes
SD2.bin037	Bacteroidetes
SD2.bin047	Bacteroidetes
SD2.bin054	Bacteroidetes
SD2.bin057	Bacteroidetes
SD2.bin059	Bacteroidetes
SD2.bin070	Bacteroidetes
SD2.bin078	Bacteroidetes
SD2.bin079	Bacteroidetes
SD2.bin080	Bacteroidetes
SD2.bin081	Bacteroidetes
SD2.bin100	Bacteroidetes
SD2.bin103	Bacteroidetes
SD2.bin104	Bacteroidetes
SD2.bin106	Bacteroidetes
SD2.bin108	Bacteroidetes
SD2.bin109	Bacteroidetes
SD2.bin110	Bacteroidetes
SD2.bin111	Bacteroidetes
SD2.bin127	Bacteroidetes
SD2.bin130	Bacteroidetes
SD2.bin140	Bacteroidetes
SD2.bin145	Bacteroidetes
SD2.bin151	Bacteroidetes
SD2.bin163	Bacteroidetes
SD2.bin164	Bacteroidetes
SD2.bin170	Bacteroidetes
SD2.bin175	Bacteroidetes
SD2.bin180	Bacteroidetes
SD2.bin182	Bacteroidetes
SD2.bin183	Bacteroidetes
SD2.bin184	Bacteroidetes
SD3.bin005	Bacteroidetes
SD3.bin011	Bacteroidetes
SD3.bin023	Bacteroidetes
SD3.bin036	Bacteroidetes
SD3.bin037	Bacteroidetes
SD3.bin040	Bacteroidetes
SD3.bin056	Bacteroidetes
SD3.bin083	Bacteroidetes
SD3.bin094	Bacteroidetes
SD3.bin105	Bacteroidetes
SD3.bin120	Bacteroidetes
SD3.bin125	Bacteroidetes
SD3.bin127	Bacteroidetes
SD3.bin130	Bacteroidetes
SD3.bin155	Bacteroidetes
SD3.bin177	Bacteroidetes
SD3.bin181	Bacteroidetes
SD3.bin189	Bacteroidetes
SD3.bin190	Bacteroidetes
SD3.bin199	Bacteroidetes
SD4.bin015	Bacteroidetes
SD4.bin016	Bacteroidetes
SD4.bin018	Bacteroidetes
SD4.bin020	Bacteroidetes
SD4.bin026	Bacteroidetes
SD4.bin029	Bacteroidetes
SD4.bin040	Bacteroidetes
SD4.bin042	Bacteroidetes
SD4.bin048	Bacteroidetes
SD4.bin050	Bacteroidetes
SD4.bin060	Bacteroidetes
SD4.bin068	Bacteroidetes
SD4.bin069	Bacteroidetes
SD4.bin072	Bacteroidetes
SD4.bin074	Bacteroidetes
SD4.bin076	Bacteroidetes
SD4.bin080	Bacteroidetes
SD4.bin087	Bacteroidetes
SD4.bin088	Bacteroidetes
SD4.bin091	Bacteroidetes
SD4.bin092	Bacteroidetes
SD4.bin103	Bacteroidetes
SD4.bin108	Bacteroidetes
SD4.bin111	Bacteroidetes
SD4.bin112	Bacteroidetes
SD4.bin119	Bacteroidetes
SD4.bin122	Bacteroidetes
SD4.bin132	Bacteroidetes
SD4.bin133	Bacteroidetes
SD4.bin139	Bacteroidetes
SD4.bin141	Bacteroidetes
SD4.bin142	Bacteroidetes
SD4.bin145	Bacteroidetes
SD4.bin148	Bacteroidetes
SD4.bin151	Bacteroidetes
SD4.bin157	Bacteroidetes
