B	Actinobacteria	Bacteroidetes	Firmicutes	Proteobacteria	Verrucomicrobia
Cell growth and death	17.08536586	21.88603352	16.86191732	17.79775282	14.95934959
Cell motility	1.317073171	0.52849162	7.833186748	20.78651685	0.910569106
Transport and catabolism	6.231707317	13.42011173	6.99003225	3.095505617	16.47967479
Membrane transport	51.29268292	30.79106145	47.96716505	56.38202247	37.95121951
Signal transduction	38.18292683	42.95418995	44.22280856	45.14606741	38.33333333
Folding, sorting and degradation	30.18292683	26.47150837	23.72500733	28.73033708	24.60975609
Replication and repair	57.60975609	62.04469274	60.67340956	62.57865168	63.91056911
Translation	69.73170732	59.76759777	63.14160071	66.5	70.29268293
Amino acid metabolism	134.1585366	122.8893855	110.1084726	75.32022471	127.3821138
Biosynthesis of other secondary metabolites	26.54878049	31.25698324	27.96247435	21.1011236	34.7804878
Carbohydrate metabolism	184.097561	188.6927374	190.1248901	133.4831461	197.9756098
Energy metabolism	97.03658538	69.9575419	64.62005277	65.5505618	66.84552846
Glycan biosynthesis and metabolism	26.67073171	57.16536314	39.32160657	30.29775281	67.42276422
Lipid metabolism	43.19512195	46.12849162	45.83494576	34.67977528	52.89430893
Metabolism of cofactors and vitamins	78.39024391	81.27150838	58.11580182	56.88764045	89.00813008
Metabolism of other amino acids	28.98780488	24.09162011	20.48783348	18.09550562	19.2195122
Metabolism of terpenoids and polyketides	22.25609756	20.99217877	15.94400469	13.09550562	19.43902439
Nucleotide metabolism	51.45121952	56.21564245	50.13749634	37.43820225	44.1707317
Xenobiotics biodegradation and metabolism	24.70731707	13.20782123	16.75872178	15.34269663	11.63414634
