Phylum	r
Actinobacteria	0.505952381
Actinobacteria	0.509700176
Actinobacteria	0.518628912
Actinobacteria	0.537534754
Actinobacteria	0.550126042
Actinobacteria	0.556661925
Actinobacteria	0.558174524
Actinobacteria	0.576368876
Actinobacteria	0.581009797
Actinobacteria	0.583678542
Actinobacteria	0.587986861
Actinobacteria	0.591101695
Actinobacteria	0.593766234
Actinobacteria	0.595576619
Actinobacteria	0.596388482
Actinobacteria	0.597222222
Actinobacteria	0.598360656
Actinobacteria	0.598705502
Actinobacteria	0.603634299
Actinobacteria	0.60967033
Actinobacteria	0.612116444
Actinobacteria	0.61356565
Actinobacteria	0.615284412
Actinobacteria	0.619241983
Actinobacteria	0.620548745
Actinobacteria	0.621811785
Actinobacteria	0.623006834
Actinobacteria	0.623203832
Actinobacteria	0.62406367
Actinobacteria	0.625139665
Actinobacteria	0.626318433
Actinobacteria	0.629380054
Actinobacteria	0.632352941
Actinobacteria	0.635789474
Actinobacteria	0.636434109
Actinobacteria	0.63670412
Actinobacteria	0.645446508
Actinobacteria	0.64556962
Actinobacteria	0.645982498
Actinobacteria	0.651669086
Actinobacteria	0.654761905
Actinobacteria	0.657542225
Actinobacteria	0.659785301
Actinobacteria	0.66068424
Actinobacteria	0.661032864
Actinobacteria	0.663694268
Actinobacteria	0.663694268
Actinobacteria	0.664485425
Actinobacteria	0.66577361
Actinobacteria	0.671358805
Actinobacteria	0.672375691
Actinobacteria	0.673023138
Actinobacteria	0.677345538
Actinobacteria	0.68040201
Actinobacteria	0.682664756
Actinobacteria	0.683221477
Actinobacteria	0.685603113
Actinobacteria	0.686494052
Actinobacteria	0.68716183
Actinobacteria	0.687557604
Actinobacteria	0.689913545
Actinobacteria	0.691923397
Actinobacteria	0.694579439
Actinobacteria	0.696674312
Actinobacteria	0.700404858
Actinobacteria	0.702216066
Actinobacteria	0.703342618
Actinobacteria	0.703846154
Actinobacteria	0.704448507
Actinobacteria	0.7056
Actinobacteria	0.708333333
Actinobacteria	0.709401709
Actinobacteria	0.710720887
Actinobacteria	0.710791367
Actinobacteria	0.711191336
Actinobacteria	0.712034384
Actinobacteria	0.717666948
Actinobacteria	0.718863802
Actinobacteria	0.720853859
Actinobacteria	0.723122239
Actinobacteria	0.725
Actinobacteria	0.744906997
Bacteroidetes	0.485539001
Bacteroidetes	0.486498071
Bacteroidetes	0.487187404
Bacteroidetes	0.489825062
Bacteroidetes	0.494451295
Bacteroidetes	0.494555013
Bacteroidetes	0.49707339
Bacteroidetes	0.498094028
Bacteroidetes	0.502247191
Bacteroidetes	0.502465262
Bacteroidetes	0.503039514
Bacteroidetes	0.508315565
Bacteroidetes	0.510972814
Bacteroidetes	0.512468193
Bacteroidetes	0.512554113
Bacteroidetes	0.513733469
Bacteroidetes	0.514553527
Bacteroidetes	0.515101365
Bacteroidetes	0.515756769
Bacteroidetes	0.51730503
Bacteroidetes	0.5196793
Bacteroidetes	0.52264941
Bacteroidetes	0.524110672
Bacteroidetes	0.524337646
Bacteroidetes	0.5264637
Bacteroidetes	0.527583187
Bacteroidetes	0.528187337
Bacteroidetes	0.528612303
Bacteroidetes	0.530364372
Bacteroidetes	0.531365314
Bacteroidetes	0.532249607
Bacteroidetes	0.533395176
Bacteroidetes	0.534675615
Bacteroidetes	0.535146444
Bacteroidetes	0.535211268
Bacteroidetes	0.535616438
Bacteroidetes	0.536535304
Bacteroidetes	0.537201685
Bacteroidetes	0.538097288
Bacteroidetes	0.538209095
Bacteroidetes	0.538420204
Bacteroidetes	0.53850239
Bacteroidetes	0.540162455
Bacteroidetes	0.540202501
Bacteroidetes	0.540394973
Bacteroidetes	0.540904198
Bacteroidetes	0.541723666
Bacteroidetes	0.54188607
Bacteroidetes	0.541921155
Bacteroidetes	0.54202315
Bacteroidetes	0.542089249
Bacteroidetes	0.542763158
Bacteroidetes	0.543175487
Bacteroidetes	0.543387193
Bacteroidetes	0.544175824
Bacteroidetes	0.544496487
Bacteroidetes	0.544718737
Bacteroidetes	0.545737123
Bacteroidetes	0.545790934
Bacteroidetes	0.546583851
Bacteroidetes	0.547619048
Bacteroidetes	0.54772822
Bacteroidetes	0.547994592
Bacteroidetes	0.548322484
Bacteroidetes	0.548471616
Bacteroidetes	0.548497854
Bacteroidetes	0.549700599
Bacteroidetes	0.550247859
Bacteroidetes	0.550531915
Bacteroidetes	0.550718512
Bacteroidetes	0.551515152
Bacteroidetes	0.551754776
Bacteroidetes	0.551975945
Bacteroidetes	0.552112676
Bacteroidetes	0.552201258
Bacteroidetes	0.552727273
Bacteroidetes	0.553259871
Bacteroidetes	0.553547523
Bacteroidetes	0.554791577
Bacteroidetes	0.555823778
Bacteroidetes	0.555897042
Bacteroidetes	0.556318681
Bacteroidetes	0.556365403
Bacteroidetes	0.556599744
Bacteroidetes	0.556948798
Bacteroidetes	0.557077626
Bacteroidetes	0.557491289
Bacteroidetes	0.557734205
Bacteroidetes	0.557765552
Bacteroidetes	0.558730159
Bacteroidetes	0.558869702
Bacteroidetes	0.559139785
Bacteroidetes	0.559287738
Bacteroidetes	0.560406091
Bacteroidetes	0.560693642
Bacteroidetes	0.56141832
Bacteroidetes	0.561637739
Bacteroidetes	0.56260342
Bacteroidetes	0.563101604
Bacteroidetes	0.56323687
Bacteroidetes	0.563451777
Bacteroidetes	0.563481675
Bacteroidetes	0.563692625
Bacteroidetes	0.563701923
Bacteroidetes	0.563930765
Bacteroidetes	0.564380858
Bacteroidetes	0.564650678
Bacteroidetes	0.564653425
Bacteroidetes	0.564772145
Bacteroidetes	0.564871481
Bacteroidetes	0.565306122
Bacteroidetes	0.565387118
Bacteroidetes	0.565988524
Bacteroidetes	0.566150774
Bacteroidetes	0.566326531
Bacteroidetes	0.566769231
Bacteroidetes	0.567126085
Bacteroidetes	0.568010634
Bacteroidetes	0.568030973
Bacteroidetes	0.568130376
Bacteroidetes	0.568345324
Bacteroidetes	0.568854569
Bacteroidetes	0.569077014
Bacteroidetes	0.569175992
Bacteroidetes	0.569215876
Bacteroidetes	0.569335938
Bacteroidetes	0.569552529
Bacteroidetes	0.569975339
Bacteroidetes	0.569980695
Bacteroidetes	0.569989396
Bacteroidetes	0.570512821
Bacteroidetes	0.570709612
Bacteroidetes	0.570761326
Bacteroidetes	0.571428571
Bacteroidetes	0.572309417
Bacteroidetes	0.572471324
Bacteroidetes	0.572952218
Bacteroidetes	0.573609597
Bacteroidetes	0.573643411
Bacteroidetes	0.573686657
Bacteroidetes	0.573736321
Bacteroidetes	0.573809524
Bacteroidetes	0.573935937
Bacteroidetes	0.574090506
Bacteroidetes	0.574142157
Bacteroidetes	0.574178027
Bacteroidetes	0.574396407
Bacteroidetes	0.574967405
Bacteroidetes	0.575064935
Bacteroidetes	0.575165951
Bacteroidetes	0.57554672
Bacteroidetes	0.575708061
Bacteroidetes	0.575941677
Bacteroidetes	0.575976845
Bacteroidetes	0.576550388
Bacteroidetes	0.576998051
Bacteroidetes	0.57712766
Bacteroidetes	0.577240566
Bacteroidetes	0.577389985
Bacteroidetes	0.57790927
Bacteroidetes	0.578150352
Bacteroidetes	0.578185865
Bacteroidetes	0.578591549
Bacteroidetes	0.578661844
Bacteroidetes	0.578947368
Bacteroidetes	0.579145139
Bacteroidetes	0.579528349
Bacteroidetes	0.579686656
Bacteroidetes	0.57980456
Bacteroidetes	0.57984145
Bacteroidetes	0.579853862
Bacteroidetes	0.579962371
Bacteroidetes	0.58001265
Bacteroidetes	0.580097087
Bacteroidetes	0.580508475
Bacteroidetes	0.580609418
Bacteroidetes	0.580664653
Bacteroidetes	0.581278309
Bacteroidetes	0.581395349
Bacteroidetes	0.581540597
Bacteroidetes	0.581903276
Bacteroidetes	0.581924198
Bacteroidetes	0.582109479
Bacteroidetes	0.582303188
Bacteroidetes	0.582327378
Bacteroidetes	0.582352941
Bacteroidetes	0.582513661
Bacteroidetes	0.582677165
Bacteroidetes	0.582745524
Bacteroidetes	0.582922014
Bacteroidetes	0.583005065
Bacteroidetes	0.583152174
Bacteroidetes	0.583381089
Bacteroidetes	0.583657588
Bacteroidetes	0.583790372
Bacteroidetes	0.583892617
Bacteroidetes	0.583991575
Bacteroidetes	0.58404846
Bacteroidetes	0.584109589
Bacteroidetes	0.584109589
Bacteroidetes	0.584352078
Bacteroidetes	0.584423676
Bacteroidetes	0.584942085
Bacteroidetes	0.585502603
Bacteroidetes	0.585571353
Bacteroidetes	0.585976628
Bacteroidetes	0.586278586
Bacteroidetes	0.586329114
Bacteroidetes	0.586719524
Bacteroidetes	0.586746988
Bacteroidetes	0.586944288
Bacteroidetes	0.587004405
Bacteroidetes	0.587069864
Bacteroidetes	0.587522714
Bacteroidetes	0.587616099
Bacteroidetes	0.587658593
Bacteroidetes	0.587668593
Bacteroidetes	0.587685542
Bacteroidetes	0.587755102
Bacteroidetes	0.587849499
Bacteroidetes	0.588135593
Bacteroidetes	0.588141874
Bacteroidetes	0.588336192
Bacteroidetes	0.588505747
Bacteroidetes	0.588541667
Bacteroidetes	0.588677065
Bacteroidetes	0.588841722
Bacteroidetes	0.589077413
Bacteroidetes	0.589130435
Bacteroidetes	0.589143659
Bacteroidetes	0.589374379
Bacteroidetes	0.589494163
Bacteroidetes	0.589726918
Bacteroidetes	0.589730554
Bacteroidetes	0.589823468
Bacteroidetes	0.589866667
Bacteroidetes	0.589900111
Bacteroidetes	0.590254707
Bacteroidetes	0.590510572
Bacteroidetes	0.590533088
Bacteroidetes	0.590621039
Bacteroidetes	0.590797546
Bacteroidetes	0.591127098
Bacteroidetes	0.591218306
Bacteroidetes	0.591263651
Bacteroidetes	0.591409692
Bacteroidetes	0.591416814
Bacteroidetes	0.591446258
Bacteroidetes	0.59154296
Bacteroidetes	0.591625884
Bacteroidetes	0.591633466
Bacteroidetes	0.591672263
Bacteroidetes	0.591836735
Bacteroidetes	0.591947115
Bacteroidetes	0.59220297
Bacteroidetes	0.592279855
Bacteroidetes	0.592961877
Bacteroidetes	0.593406593
Bacteroidetes	0.593438781
Bacteroidetes	0.593768724
Bacteroidetes	0.594249201
Bacteroidetes	0.594472645
Bacteroidetes	0.594519016
Bacteroidetes	0.594651285
Bacteroidetes	0.594914252
Bacteroidetes	0.594953519
Bacteroidetes	0.595095694
Bacteroidetes	0.59600444
Bacteroidetes	0.596215967
Bacteroidetes	0.596442468
Bacteroidetes	0.596459096
Bacteroidetes	0.596469872
Bacteroidetes	0.596710153
Bacteroidetes	0.596754057
Bacteroidetes	0.59676453
Bacteroidetes	0.596876525
Bacteroidetes	0.597014925
Bacteroidetes	0.597126437
Bacteroidetes	0.597683398
Bacteroidetes	0.59771987
Bacteroidetes	0.597760551
Bacteroidetes	0.597775176
Bacteroidetes	0.597931034
Bacteroidetes	0.59803319
Bacteroidetes	0.59811617
Bacteroidetes	0.598125689
Bacteroidetes	0.598505072
Bacteroidetes	0.59861809
Bacteroidetes	0.598639456
Bacteroidetes	0.598669623
Bacteroidetes	0.598705502
Bacteroidetes	0.598955311
Bacteroidetes	0.59911651
Bacteroidetes	0.599206349
Bacteroidetes	0.599241466
Bacteroidetes	0.599437807
Bacteroidetes	0.599485861
Bacteroidetes	0.599494098
Bacteroidetes	0.599528857
Bacteroidetes	0.599537037
Bacteroidetes	0.599759615
Bacteroidetes	0.6
Bacteroidetes	0.6
Bacteroidetes	0.6
Bacteroidetes	0.600110926
Bacteroidetes	0.600143575
Bacteroidetes	0.600171233
Bacteroidetes	0.60022779
Bacteroidetes	0.60034904
Bacteroidetes	0.600416956
Bacteroidetes	0.600491703
Bacteroidetes	0.600609756
Bacteroidetes	0.600827301
Bacteroidetes	0.601060305
Bacteroidetes	0.601134216
Bacteroidetes	0.601201201
Bacteroidetes	0.601208459
Bacteroidetes	0.601311953
Bacteroidetes	0.601578947
Bacteroidetes	0.601626016
Bacteroidetes	0.601694915
Bacteroidetes	0.601709402
Bacteroidetes	0.601946998
Bacteroidetes	0.601973684
Bacteroidetes	0.601984564
Bacteroidetes	0.60212766
Bacteroidetes	0.602134146
Bacteroidetes	0.602226128
Bacteroidetes	0.602494154
Bacteroidetes	0.602693603
Bacteroidetes	0.602759622
Bacteroidetes	0.602832512
Bacteroidetes	0.602960969
Bacteroidetes	0.602966343
Bacteroidetes	0.603012372
Bacteroidetes	0.603015075
Bacteroidetes	0.603348358
Bacteroidetes	0.603389831
Bacteroidetes	0.603646185
Bacteroidetes	0.603729604
Bacteroidetes	0.603905859
Bacteroidetes	0.603921569
Bacteroidetes	0.604236343
Bacteroidetes	0.604300091
Bacteroidetes	0.604307692
Bacteroidetes	0.604447975
Bacteroidetes	0.604469274
Bacteroidetes	0.604624929
Bacteroidetes	0.604625551
Bacteroidetes	0.604802077
Bacteroidetes	0.604872881
Bacteroidetes	0.605091384
Bacteroidetes	0.605290456
Bacteroidetes	0.605432099
Bacteroidetes	0.605534455
Bacteroidetes	0.605661619
Bacteroidetes	0.606029637
Bacteroidetes	0.60610687
Bacteroidetes	0.606246514
Bacteroidetes	0.60637149
Bacteroidetes	0.606496273
Bacteroidetes	0.606594656
Bacteroidetes	0.606605148
Bacteroidetes	0.606621773
Bacteroidetes	0.606625259
Bacteroidetes	0.606837607
Bacteroidetes	0.607170694
Bacteroidetes	0.607260726
Bacteroidetes	0.607344633
Bacteroidetes	0.60755814
Bacteroidetes	0.607587769
Bacteroidetes	0.607905983
Bacteroidetes	0.60806345
Bacteroidetes	0.608247423
Bacteroidetes	0.608548455
Bacteroidetes	0.608671484
Bacteroidetes	0.608948286
Bacteroidetes	0.609279609
Bacteroidetes	0.609418283
Bacteroidetes	0.609629148
Bacteroidetes	0.60963725
Bacteroidetes	0.609756098
Bacteroidetes	0.609917355
Bacteroidetes	0.61
Bacteroidetes	0.610061219
Bacteroidetes	0.61027359
Bacteroidetes	0.61039886
Bacteroidetes	0.610602094
Bacteroidetes	0.610609481
Bacteroidetes	0.610705596
Bacteroidetes	0.610837438
Bacteroidetes	0.611003236
Bacteroidetes	0.611145132
Bacteroidetes	0.611200862
Bacteroidetes	0.611205433
Bacteroidetes	0.611267606
Bacteroidetes	0.611309524
Bacteroidetes	0.611538462
Bacteroidetes	0.611668758
Bacteroidetes	0.61182206
Bacteroidetes	0.611878453
Bacteroidetes	0.612034384
Bacteroidetes	0.612049963
Bacteroidetes	0.612081514
Bacteroidetes	0.612270715
Bacteroidetes	0.612507306
Bacteroidetes	0.613008891
Bacteroidetes	0.613098514
Bacteroidetes	0.613107822
Bacteroidetes	0.613138686
Bacteroidetes	0.613240418
Bacteroidetes	0.613477432
Bacteroidetes	0.613649508
Bacteroidetes	0.613742495
Bacteroidetes	0.613814075
Bacteroidetes	0.613834423
Bacteroidetes	0.613905325
Bacteroidetes	0.613942589
Bacteroidetes	0.614023591
Bacteroidetes	0.614035088
Bacteroidetes	0.614395887
Bacteroidetes	0.614450867
Bacteroidetes	0.614485981
Bacteroidetes	0.614540466
Bacteroidetes	0.614642452
Bacteroidetes	0.614684466
Bacteroidetes	0.614781635
Bacteroidetes	0.614803625
Bacteroidetes	0.615170494
Bacteroidetes	0.61529052
Bacteroidetes	0.615296147
Bacteroidetes	0.615338882
Bacteroidetes	0.615384615
Bacteroidetes	0.615384615
Bacteroidetes	0.615460364
Bacteroidetes	0.615487316
Bacteroidetes	0.615604868
Bacteroidetes	0.615720524
Bacteroidetes	0.615726062
Bacteroidetes	0.61575179
Bacteroidetes	0.615822785
Bacteroidetes	0.615845539
Bacteroidetes	0.616066155
Bacteroidetes	0.616071429
Bacteroidetes	0.616219668
Bacteroidetes	0.616360178
Bacteroidetes	0.616438356
Bacteroidetes	0.616511318
Bacteroidetes	0.616696061
Bacteroidetes	0.616852146
Bacteroidetes	0.616998386
Bacteroidetes	0.617010037
Bacteroidetes	0.617352614
Bacteroidetes	0.617355853
Bacteroidetes	0.617391304
Bacteroidetes	0.617453348
Bacteroidetes	0.61760841
Bacteroidetes	0.618025751
Bacteroidetes	0.618093923
Bacteroidetes	0.618136439
Bacteroidetes	0.618406889
Bacteroidetes	0.618573798
Bacteroidetes	0.618722877
Bacteroidetes	0.618737801
Bacteroidetes	0.618904275
Bacteroidetes	0.618987342
Bacteroidetes	0.618988132
Bacteroidetes	0.619047619
Bacteroidetes	0.619128466
Bacteroidetes	0.619212163
Bacteroidetes	0.619246862
Bacteroidetes	0.619272556
Bacteroidetes	0.619377163
Bacteroidetes	0.619402985
Bacteroidetes	0.619454837
Bacteroidetes	0.619774386
Bacteroidetes	0.619777159
Bacteroidetes	0.619839803
Bacteroidetes	0.619897188
Bacteroidetes	0.620011242
Bacteroidetes	0.620064034
Bacteroidetes	0.620146905
Bacteroidetes	0.620422535
Bacteroidetes	0.620772947
Bacteroidetes	0.620803522
Bacteroidetes	0.620967742
Bacteroidetes	0.621194379
Bacteroidetes	0.621269669
Bacteroidetes	0.621288259
Bacteroidetes	0.621365788
Bacteroidetes	0.621527778
Bacteroidetes	0.621689786
Bacteroidetes	0.621813871
Bacteroidetes	0.62195122
Bacteroidetes	0.622131148
Bacteroidetes	0.622323167
Bacteroidetes	0.622325043
Bacteroidetes	0.622497055
Bacteroidetes	0.622537431
Bacteroidetes	0.622589532
Bacteroidetes	0.622715405
Bacteroidetes	0.622878693
Bacteroidetes	0.62288383
Bacteroidetes	0.62295082
Bacteroidetes	0.62295082
Bacteroidetes	0.623004953
Bacteroidetes	0.623092236
Bacteroidetes	0.623132263
Bacteroidetes	0.623355263
Bacteroidetes	0.623616236
Bacteroidetes	0.62373603
Bacteroidetes	0.623995053
Bacteroidetes	0.624105669
Bacteroidetes	0.62427133
Bacteroidetes	0.624431449
Bacteroidetes	0.624441133
Bacteroidetes	0.624529722
Bacteroidetes	0.624681285
Bacteroidetes	0.624686402
Bacteroidetes	0.624831309
Bacteroidetes	0.625069023
Bacteroidetes	0.625173853
Bacteroidetes	0.625212947
Bacteroidetes	0.625412541
Bacteroidetes	0.625487646
Bacteroidetes	0.625544267
Bacteroidetes	0.625734814
Bacteroidetes	0.625753425
Bacteroidetes	0.625887493
Bacteroidetes	0.625954198
Bacteroidetes	0.62601626
Bacteroidetes	0.626373626
Bacteroidetes	0.626485569
Bacteroidetes	0.626534466
Bacteroidetes	0.626765299
Bacteroidetes	0.626840317
Bacteroidetes	0.626927639
Bacteroidetes	0.626988804
Bacteroidetes	0.627109111
Bacteroidetes	0.627130198
Bacteroidetes	0.627299703
Bacteroidetes	0.627439024
Bacteroidetes	0.627618309
Bacteroidetes	0.62781457
Bacteroidetes	0.627862595
Bacteroidetes	0.627865961
Bacteroidetes	0.627906977
Bacteroidetes	0.628005658
Bacteroidetes	0.628103539
Bacteroidetes	0.628368794
Bacteroidetes	0.628533859
Bacteroidetes	0.628620102
Bacteroidetes	0.629021218
Bacteroidetes	0.629254164
Bacteroidetes	0.629379226
Bacteroidetes	0.629520295
Bacteroidetes	0.629792583
Bacteroidetes	0.629903775
Bacteroidetes	0.630073187
Bacteroidetes	0.630153121
Bacteroidetes	0.630193906
Bacteroidetes	0.630201342
Bacteroidetes	0.630473905
Bacteroidetes	0.630876747
Bacteroidetes	0.631418093
Bacteroidetes	0.631612091
Bacteroidetes	0.631778742
Bacteroidetes	0.631981188
Bacteroidetes	0.632214765
Bacteroidetes	0.632345555
Bacteroidetes	0.632363378
Bacteroidetes	0.632727273
Bacteroidetes	0.632935261
Bacteroidetes	0.633187773
Bacteroidetes	0.63326226
Bacteroidetes	0.633524538
Bacteroidetes	0.633628319
Bacteroidetes	0.633685381
Bacteroidetes	0.634095634
Bacteroidetes	0.634408602
Bacteroidetes	0.634433962
Bacteroidetes	0.634606318
Bacteroidetes	0.634735202
Bacteroidetes	0.635094111
Bacteroidetes	0.635182999
Bacteroidetes	0.635220126
Bacteroidetes	0.635376756
Bacteroidetes	0.635386819
Bacteroidetes	0.635476464
Bacteroidetes	0.635598706
Bacteroidetes	0.635663507
Bacteroidetes	0.635746606
Bacteroidetes	0.635782748
Bacteroidetes	0.636241611
Bacteroidetes	0.636423406
Bacteroidetes	0.63647343
Bacteroidetes	0.636477202
Bacteroidetes	0.636977058
Bacteroidetes	0.637178721
Bacteroidetes	0.637203166
Bacteroidetes	0.637205387
Bacteroidetes	0.637260592
Bacteroidetes	0.637276786
Bacteroidetes	0.63739546
Bacteroidetes	0.637430939
Bacteroidetes	0.637562814
Bacteroidetes	0.637690355
Bacteroidetes	0.637741047
Bacteroidetes	0.638095238
Bacteroidetes	0.638229634
Bacteroidetes	0.638539797
Bacteroidetes	0.638542187
Bacteroidetes	0.638671875
Bacteroidetes	0.638943249
Bacteroidetes	0.639220894
Bacteroidetes	0.639221557
Bacteroidetes	0.639285714
Bacteroidetes	0.639344262
Bacteroidetes	0.639423077
Bacteroidetes	0.639432816
Bacteroidetes	0.639503986
Bacteroidetes	0.639842983
Bacteroidetes	0.640060241
Bacteroidetes	0.640074212
Bacteroidetes	0.640204866
Bacteroidetes	0.640247678
Bacteroidetes	0.640577965
Bacteroidetes	0.641040136
Bacteroidetes	0.641099855
Bacteroidetes	0.641461878
Bacteroidetes	0.641463415
Bacteroidetes	0.64162284
Bacteroidetes	0.641704325
Bacteroidetes	0.641717791
Bacteroidetes	0.642105263
Bacteroidetes	0.642323174
Bacteroidetes	0.642335766
Bacteroidetes	0.642420122
Bacteroidetes	0.642857143
Bacteroidetes	0.642857143
Bacteroidetes	0.642857143
Bacteroidetes	0.64305633
Bacteroidetes	0.643082754
Bacteroidetes	0.643209008
Bacteroidetes	0.643219265
Bacteroidetes	0.643271088
Bacteroidetes	0.643371758
Bacteroidetes	0.64347079
Bacteroidetes	0.643472906
Bacteroidetes	0.643546441
Bacteroidetes	0.64372684
Bacteroidetes	0.643890675
Bacteroidetes	0.643979058
Bacteroidetes	0.644005848
Bacteroidetes	0.644117647
Bacteroidetes	0.644202899
Bacteroidetes	0.644475921
Bacteroidetes	0.644493718
Bacteroidetes	0.644787645
Bacteroidetes	0.644808743
Bacteroidetes	0.645026802
Bacteroidetes	0.645064054
Bacteroidetes	0.64516129
Bacteroidetes	0.64525339
Bacteroidetes	0.645394737
Bacteroidetes	0.645563977
Bacteroidetes	0.645833333
Bacteroidetes	0.646648045
Bacteroidetes	0.646727657
Bacteroidetes	0.646873026
Bacteroidetes	0.646894627
Bacteroidetes	0.647128478
Bacteroidetes	0.64738292
Bacteroidetes	0.64753004
Bacteroidetes	0.647819063
Bacteroidetes	0.647887324
Bacteroidetes	0.647887324
Bacteroidetes	0.648063033
Bacteroidetes	0.648081101
Bacteroidetes	0.648187633
Bacteroidetes	0.64844649
Bacteroidetes	0.648514851
Bacteroidetes	0.648533007
Bacteroidetes	0.648817803
Bacteroidetes	0.649171271
Bacteroidetes	0.649224806
Bacteroidetes	0.649340574
Bacteroidetes	0.649381261
Bacteroidetes	0.649444081
Bacteroidetes	0.649484536
Bacteroidetes	0.64951989
Bacteroidetes	0.649885584
Bacteroidetes	0.649902025
Bacteroidetes	0.650035137
Bacteroidetes	0.650211566
Bacteroidetes	0.650566038
Bacteroidetes	0.650700074
Bacteroidetes	0.651006711
Bacteroidetes	0.65125
Bacteroidetes	0.651320755
Bacteroidetes	0.651351351
Bacteroidetes	0.651827243
Bacteroidetes	0.651944628
Bacteroidetes	0.651951376
Bacteroidetes	0.652173913
Bacteroidetes	0.652322404
Bacteroidetes	0.652531646
Bacteroidetes	0.652990264
Bacteroidetes	0.653048397
Bacteroidetes	0.653094463
Bacteroidetes	0.653450808
Bacteroidetes	0.653458697
