family	phylum
Eggerthellaceae	Actinobacteria
Bacteroidaceae	Bacteroidetes
Barnesiellaceae	Bacteroidetes
F082	Bacteroidetes
Muribaculaceae	Bacteroidetes
Odoribacteraceae	Bacteroidetes
Paludibacteraceae	Bacteroidetes
Prevotellaceae	Bacteroidetes
Rikenellaceae	Bacteroidetes
Gastranaerophilaceae	Candidatus Melainabacteria
Elusimicrobiaceae	Elusimicrobia
Methanobacteriaceae	Euryarchaeota
CAG-611	Firmicutes
CAG-727	Firmicutes
CAG-74	Firmicutes
Clostridiaceae	Firmicutes
Erysipelotrichaceae	Firmicutes
Eubacteriaceae	Firmicutes
Hungateiclostridiaceae	Firmicutes
Lachnospiraceae	Firmicutes
Monoglobaceae	Firmicutes
Oscillospiraceae	Firmicutes
Peptococcaceae	Firmicutes
Peptostreptococcaceae	Firmicutes
Ruminococcaceae	Firmicutes
UBA1242	Firmicutes
UBA1381	Firmicutes
UBA9506	Firmicutes
UBA1829	Lentisphaerae
Victivallaceae	Lentisphaerae
Thermoguttaceae	Planctomycetes
Acetobacteraceae	Proteobacteria
Desulfovibrionaceae	Proteobacteria
Rhodospirillaceae	Proteobacteria
Rs-D84	Proteobacteria
Spirochaetaceae	Spirochaetes
Akkermansiaceae	Verrucomicrobia
UBA1067	Verrucomicrobia
