modules 	M00015	M00018	M00019	M00020	M00021	M00022	M00023	M00024	M00025	M00026	M00028	M00045	M00118	M00133	M00432	M00526	M00527	M00535	M00570	M00844	M00096	M00364	M00365	M00793	M00001	M00002	M00005	M00006	M00007	M00010	M00307	M00308	M00549	M00554	M00580	M00631	M00632	M00854	M00855	M00909	M00144	M00157	M00169	M00378	M00579	M00608	M00063	M00064	M00866	M00082	M00083	M00086	M00093	M00115	M00119	M00120	M00123	M00125	M00126	M00140	M00141	M00572	M00846	M00847	M00048	M00049	M00050	M00051	M00052
Eggerthellaceae	2	2	0	2	2	1	0	1	1	0	2	0	0	0	0	1	0	0	0	2	1	1	1	0	0	1	2	0	2	2	2	0	1	2	0	0	1	1	0	0	1	2	1	1	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	1	0	0	0	1	1	1	1	1
Bacteroidaceae	2	1	2	1	2	1	0	1	1	2	1	0	0	1	2	2	0	1	2	1	1	1	0	2	0	1	2	0	1	0	2	0	1	1	0	0	1	1	1	0	1	1	2	1	2	0	2	0	1	0	1	2	2	2	2	2	1	2	2	2	1	0	0	0	2	2	2	1	2
Barnesiellaceae	1	0	0	1	1	1	0	0	0	0	0	2	0	1	0	2	0	0	0	0	2	2	1	2	1	1	2	0	1	0	2	1	1	1	0	2	1	1	2	0	1	2	1	1	2	0	0	0	0	1	1	2	1	1	1	2	1	1	2	2	1	0	0	0	1	1	1	2	1
F082	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	2	1	2	2	2	2	0	1	0	2	0	1	1	0	0	1	1	1	0	1	2	1	1	2	0	2	2	0	1	1	2	2	0	1	2	0	1	2	2	1	0	0	0	2	2	1	1	1
Muribaculaceae	2	0	2	2	2	1	0	1	1	2	1	0	0	1	2	1	0	2	2	1	1	1	0	2	1	1	2	0	1	0	2	0	1	0	0	0	0	1	2	0	1	2	2	1	2	0	0	0	0	1	1	2	2	1	1	1	1	2	1	1	1	0	0	0	1	1	1	1	1
Odoribacteraceae	1	1	2	2	1	1	0	1	1	2	1	2	0	1	2	2	1	1	2	1	0	1	0	2	0	0	2	0	1	0	2	0	1	1	0	0	1	1	1	0	1	1	1	1	2	0	2	0	1	1	2	2	2	1	1	2	0	1	2	1	1	0	0	0	2	1	1	1	0
Paludibacteraceae	0	0	0	1	2	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	2	0	0	2	0	1	0	2	0	1	0	0	0	0	1	1	0	1	1	1	1	2	0	2	0	1	1	1	2	2	2	1	2	0	1	1	1	1	0	0	0	2	1	1	1	1
Prevotellaceae	2	1	2	1	2	1	0	1	1	2	1	0	0	1	2	2	1	2	1	1	1	2	1	2	0	0	2	0	1	0	2	0	1	1	0	0	1	1	1	0	1	1	1	1	2	0	0	0	0	1	1	2	2	2	1	2	0	2	1	1	1	0	0	0	2	2	2	1	1
Rikenellaceae	0	0	0	1	1	0	0	1	1	0	1	2	0	1	0	0	1	0	0	1	0	1	0	2	0	0	2	0	1	0	2	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	2	2	1	1	2	0	0	2	1	1	0	0	0	2	1	1	1	1
Gastranaerophilaceae	2	2	1	0	2	2	0	1	0	0	0	0	2	2	0	1	2	0	0	0	1	1	0	2	0	0	2	0	1	0	2	1	1	0	0	0	0	2	1	1	1	1	1	1	0	0	2	0	0	2	2	2	0	2	2	2	2	2	0	1	1	2	0	0	0	2	0	0	2
