family	AH1	AH2	AH3	AH4	AH5	GX1	GX2	GX3	GX4	GX5	JL1	JL2	JL3	JL4	JL5	SD1	SD2	SD3	SD4	SD5	SX1	SX2	SX3	SX4	SX5	XZ1	XZ2	XZ3	XZ4	XZ5
Ruminococcaceae	5467705	5424985	6108299	6512634	6108124	5941653	4336218	5760435	6668866	7634467	4875952	5072603	4873409	4407530	4186936	5467714	5322702	6001078	3621637	6645076	4983296	4471191	3962258	3444129	3572427	7877954	6226517	11592821	7965371	10172117
Rikenellaceae	4650150	4517789	4421498	4103147	3911915	4568242	5002006	4910306	3766999	3738304	3804998	3724125	2130853	2407196	3716591	3691875	3574061	1831526	3547747	1114598	3231893	3099229	4055488	3451257	3058736	2688815	1974379	17160	2999099	268670
Lachnospiraceae	1130477	1255777	1698954	1830091	1451044	2935852	2238807	2991046	1050502	1240555	1187881	3012421	2715911	2332187	2679886	1553445	2009563	2242055	598531	5543593	3594288	1629159	1222099	4135811	3163095	1279823	1747485	1349018	1564035	1249955
Bacteroidaceae	1804350	1480462	1126553	1554115	1074770	2446276	2374188	2545287	1965386	1953864	2014834	2221834	524182	700267	2089790	2239568	1303392	1814682	1794316	550777	1866520	1828111	2081772	1087664	878107	2013572	1814572	9964	1924346	745033
CAG-74	582224	333185	451918	316036	733766	601992	552131	563036	602714	755335	758735	261118	311521	311509	459347	1308154	1086230	665215	296703	961827	739181	676883	680500	528435	464906	601999	1522677	3876128	630651	1463074
Spirochaetaceae	965888	625147	253544	452667	7676	122709	142953	115572	110188	67100	853695	580917	140615	2485200	1052368	89841	309606	2218548	675226	293074	20135	964456	629614	87398	634223	9445	367047	71545	9411	3242
Paludibacteraceae	37210	233632	229183	18285	20405	26732	67226	27985	33396	26934	1519196	45802	1333528	479247	381671	43876	83385	52554	431826	91988	1488767	951538	257610	1841641	2870198	20848	269722	518	759476	8240
Unknow	680084	681070	407106	486048	372102	378177	315238	391383	336229	474811	435349	725187	110597	184759	251215	464854	559318	931851	590931	275170	221725	243442	681186	102492	220587	251791	354577	187921	209887	299690
Prevotellaceae	885774	239874	135065	12366	15121	26502	236961	28700	20979	20578	92149	566705	1062324	509299	1069076	210351	93044	481734	1197636	520419	352627	1020517	811074	583530	1190107	15099	11769	799	15395	7264
Akkermansiaceae	727186	151202	658024	646516	1444819	5468	671660	5241	135490	375467	952235	672429	12740	3621	169179	210116	244270	235	312969	48865	19327	158497	202369	307507	60802	293349	350731	505	261408	165679
Other	3018767	5006692	4459671	4017910	4810073	2896212	4012427	2610824	5259066	3662400	3454791	3066674	6734135	6129000	3893756	4670021	5364244	3710337	6882293	3904428	3432056	4906792	5365845	4379951	3836627	4897120	5310339	2843436	3610736	5566851
