SGBs	phylum	AH	GX	JL	SD	SX	XZ
AH1.bin001	Firmicutes	1	0	0	0	0	0
AH1.bin002	Firmicutes	1	0	1	1	0	0
AH1.bin003	Firmicutes	0	0	0	0	0	0
AH1.bin006	Firmicutes	1	1	0	1	0	1
AH1.bin007	Verrucomicrobia	0	1	0	0	0	0
AH1.bin008	Firmicutes	1	0	0	0	0	0
AH1.bin009	Firmicutes	1	0	1	1	1	0
AH1.bin010	Bacteroidetes	1	1	1	1	1	1
AH1.bin016	Firmicutes	1	1	1	1	1	1
AH1.bin017	Firmicutes	0	1	0	0	0	0
AH1.bin019	Firmicutes	1	1	1	1	0	1
AH1.bin021	Firmicutes	1	0	0	0	0	0
AH1.bin022	Lentisphaerae	0	1	0	0	0	0
AH1.bin023	Bacteroidetes	1	1	1	1	1	1
AH1.bin024	Bacteroidetes	1	1	1	1	1	1
AH1.bin027	Firmicutes	0	1	1	0	0	0
AH1.bin028	Firmicutes	0	0	0	0	0	0
AH1.bin029	Bacteroidetes	1	1	1	1	1	0
AH1.bin030	Firmicutes	1	1	1	1	1	1
AH1.bin032	Firmicutes	0	0	0	0	0	0
AH1.bin033	Firmicutes	1	1	1	1	1	1
AH1.bin034	Firmicutes	0	0	0	0	0	0
AH1.bin035	Bacteroidetes	1	1	1	1	1	0
AH1.bin036	Firmicutes	0	0	0	0	0	0
AH1.bin041	Firmicutes	1	1	0	1	0	1
AH1.bin043	Firmicutes	1	1	0	1	0	1
AH1.bin045	Firmicutes	1	1	0	1	1	1
AH1.bin046	Firmicutes	1	1	0	0	0	0
AH1.bin048	Candidatus Saccharibacteria	0	0	0	0	0	0
AH1.bin049	Firmicutes	1	0	0	0	0	0
AH1.bin052	Firmicutes	0	0	0	1	0	0
AH1.bin054	Firmicutes	1	1	1	1	1	1
AH1.bin055	Bacteroidetes	1	1	1	1	1	1
AH1.bin057	Firmicutes	0	1	0	1	1	1
AH1.bin058	Firmicutes	1	0	1	1	0	0
AH1.bin059	Firmicutes	0	0	0	0	0	0
AH1.bin060	Firmicutes	1	1	1	1	1	1
AH1.bin061	Firmicutes	1	1	1	1	1	1
AH1.bin062	Firmicutes	0	0	0	0	0	0
AH1.bin063	Firmicutes	1	1	1	1	1	1
AH1.bin064	Firmicutes	1	1	1	1	1	1
AH1.bin065	Firmicutes	0	0	0	0	0	0
AH1.bin068	Firmicutes	1	1	0	1	0	1
AH1.bin069	Euryarchaeota	1	1	1	0	1	1
AH1.bin070	Firmicutes	1	1	1	1	1	1
AH1.bin072	Firmicutes	1	1	1	1	1	1
AH1.bin073	Firmicutes	1	1	0	1	1	1
AH1.bin074	Firmicutes	1	0	0	1	1	0
AH1.bin075	Firmicutes	1	0	0	0	0	0
AH1.bin076	Firmicutes	0	0	0	0	0	0
AH1.bin079	Bacteroidetes	1	1	1	1	1	0
AH1.bin083	Firmicutes	0	0	0	0	0	0
AH1.bin085	Firmicutes	0	0	0	0	0	0
AH1.bin086	Firmicutes	0	1	0	1	0	0
AH1.bin089	Firmicutes	0	0	0	0	0	0
AH1.bin091	Actinobacteria	0	1	0	0	0	1
AH1.bin092	Firmicutes	0	0	0	0	0	0
AH1.bin093	Bacteroidetes	1	1	1	1	1	1
AH1.bin096	Firmicutes	0	0	0	0	0	0
AH1.bin097	Firmicutes	0	0	0	0	0	0
AH1.bin098	Firmicutes	1	1	0	1	1	1
AH1.bin101	Firmicutes	1	1	1	1	1	1
AH1.bin102	Firmicutes	1	1	1	1	1	1
AH1.bin105	Proteobacteria	0	0	0	0	1	0
AH1.bin106	Lentisphaerae	1	1	1	0	0	0
AH1.bin107	Firmicutes	1	1	1	1	1	1
AH1.bin109	Firmicutes	0	0	0	0	0	0
AH1.bin110	Firmicutes	1	1	0	0	1	0
AH1.bin111	Firmicutes	0	0	0	0	0	0
AH1.bin112	Firmicutes	0	0	0	0	0	0
AH1.bin113	Firmicutes	0	0	0	0	0	0
AH1.bin115	Firmicutes	0	0	1	1	0	0
AH1.bin117	Firmicutes	0	0	0	0	0	0
AH1.bin118	Firmicutes	0	1	0	1	0	0
AH1.bin119	Firmicutes	0	0	0	0	0	0
AH1.bin122	Firmicutes	1	0	0	1	1	1
AH1.bin124	Firmicutes	0	0	0	0	0	1
AH1.bin125	Firmicutes	1	1	0	0	0	0
AH1.bin127	Verrucomicrobia	0	0	0	0	0	0
AH1.bin128	Euryarchaeota	1	1	1	1	1	1
AH1.bin129	Firmicutes	0	0	0	0	0	0
AH1.bin130	Firmicutes	1	1	1	1	1	1
AH1.bin131	Firmicutes	0	0	0	0	0	0
AH1.bin132	Firmicutes	1	1	0	1	0	1
AH1.bin133	Firmicutes	0	1	0	1	0	1
AH1.bin134	Firmicutes	0	0	0	0	0	0
AH1.bin136	Bacteroidetes	0	0	1	0	0	0
AH1.bin138	Firmicutes	0	0	0	0	0	0
AH1.bin139	Firmicutes	0	1	0	0	0	1
AH1.bin141	Spirochaetes	0	0	0	0	0	0
AH1.bin142	Firmicutes	0	0	0	0	0	0
AH1.bin143	Firmicutes	0	0	0	0	0	0
AH1.bin145	Firmicutes	0	0	0	0	0	0
AH1.bin146	Firmicutes	1	1	1	1	0	0
AH1.bin148	Firmicutes	0	0	0	1	0	0
AH1.bin150	Firmicutes	0	0	0	0	0	1
AH1.bin151	Firmicutes	1	0	0	0	1	0
AH1.bin152	Firmicutes	1	1	1	1	1	1
AH1.bin153	Actinobacteria	1	0	0	0	0	0
AH1.bin154	Bacteroidetes	1	1	1	1	1	1
AH1.bin156	Firmicutes	1	1	1	1	0	0
AH1.bin157	Candidatus Melainabacteria	0	0	0	1	0	0
AH1.bin158	Firmicutes	1	1	1	1	1	1
AH1.bin159	Firmicutes	0	0	0	0	0	0
AH1.bin160	Firmicutes	0	1	0	0	0	0
AH1.bin162	Firmicutes	0	1	0	1	1	1
AH1.bin164	Firmicutes	1	1	1	1	1	1
AH1.bin165	Firmicutes	1	1	1	1	1	1
AH1.bin166	Firmicutes	1	1	0	1	1	0
AH1.bin167	Firmicutes	0	0	0	0	0	0
AH1.bin168	Firmicutes	1	0	1	1	1	0
AH1.bin170	Firmicutes	1	1	1	1	1	1
AH1.bin172	Firmicutes	1	0	1	1	0	0
AH1.bin174	Firmicutes	0	0	0	0	0	0
AH1.bin176	Firmicutes	0	1	1	1	1	0
AH2.bin003	Firmicutes	0	0	0	0	0	0
AH2.bin008	Firmicutes	1	0	0	0	0	0
AH2.bin009	Firmicutes	1	1	1	1	1	1
AH2.bin012	Firmicutes	1	1	0	1	1	0
AH2.bin013	Verrucomicrobia	0	0	1	1	1	0
AH2.bin015	Firmicutes	0	0	0	0	0	0
AH2.bin017	Firmicutes	1	0	0	1	1	0
AH2.bin019	Firmicutes	1	1	0	1	1	1
AH2.bin021	Candidatus Saccharibacteria	0	0	0	0	0	0
AH2.bin022	Firmicutes	0	0	0	0	1	0
AH2.bin024	Firmicutes	0	0	0	0	0	1
AH2.bin025	Firmicutes	0	0	0	0	0	0
AH2.bin027	Firmicutes	0	1	0	1	0	1
AH2.bin028	Bacteroidetes	1	1	1	1	1	1
AH2.bin029	Bacteroidetes	1	1	1	1	1	0
AH2.bin030	Euryarchaeota	0	0	0	1	0	0
AH2.bin032	Firmicutes	1	0	0	0	0	0
AH2.bin033	Firmicutes	0	0	0	0	0	0
AH2.bin036	Firmicutes	0	0	0	0	0	0
AH2.bin039	Tenericutes	0	0	0	0	0	0
AH2.bin040	Firmicutes	0	0	0	0	0	0
AH2.bin042	Firmicutes	1	0	0	0	0	0
AH2.bin043	Firmicutes	0	0	1	0	0	0
AH2.bin046	Firmicutes	0	0	0	0	0	0
AH2.bin047	Firmicutes	0	0	0	0	0	0
AH2.bin048	Firmicutes	1	0	1	1	0	0
AH2.bin050	Firmicutes	1	0	0	1	0	0
AH2.bin051	Firmicutes	0	1	0	1	0	1
AH2.bin055	Firmicutes	0	0	0	0	0	0
AH2.bin056	Firmicutes	0	0	0	0	0	0
AH2.bin057	Firmicutes	1	0	1	1	0	0
AH2.bin059	Bacteroidetes	1	0	0	0	1	0
AH2.bin061	Firmicutes	0	0	0	0	0	0
AH2.bin062	Firmicutes	1	0	1	1	1	0
AH2.bin063	Elusimicrobia	0	0	0	0	0	0
AH2.bin064	Elusimicrobia	1	0	1	0	1	0
AH2.bin065	Tenericutes	0	0	0	0	0	0
AH2.bin066	Firmicutes	0	0	0	0	0	0
AH2.bin067	Firmicutes	0	0	0	0	0	0
AH2.bin068	Firmicutes	0	1	0	0	0	0
AH2.bin069	Firmicutes	0	0	0	0	0	0
AH2.bin070	Firmicutes	1	0	1	0	0	0
