name	plain	XZ	fold change	log2_fc	Enrich	pvalue	qvalue	plain count	XZ count	Phylum	Family	Genus	Order
SD5.bin083	842.8	3457.6	4.102515425	2.036508758	XZ	0.001826899	0.009920585	25	5	Firmicutes	UBA1390	Unknow	Clostridiales
XZ5.bin107	1263.96	5291.6	4.18652489	2.065753202	XZ	0.00084207	0.006466617	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
XZ1.bin002	2653.52	11328.8	4.269347885	2.094015724	XZ	0.000168414	0.003210485	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
XZ4.bin004	4063.92	17459.4	4.296196776	2.103060074	XZ	0.001164863	0.007795886	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
AH1.bin176	5059.64	1155	4.380640693	-2.131141887	plain	0.001164863	0.007795886	25	5	Firmicutes	Lachnospiraceae	Unknow	Clostridiales
XZ1.bin055	1417.12	6600.8	4.657897708	2.219678957	XZ	0.000266655	0.004154594	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
SD5.bin021	9695.48	47261.2	4.874560104	2.285272031	XZ	9.82E-05	0.002375919	25	5	Firmicutes	CAG-74	Unknow	Christensenellales
XZ5.bin044	1399.48	6839.4	4.887100923	2.288978898	XZ	0.001829049	0.009926296	25	5	Firmicutes	Ruminococcaceae	Pseudoflavonifractor	Clostridiales
SD1.bin073	6973.96	34278.8	4.915256182	2.297266611	XZ	0.00084207	0.006466617	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
XZ4.bin010	3242.04	16165	4.986058161	2.317899712	XZ	0.00084207	0.006466617	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
AH4.bin148	5148.36	26303	5.109005586	2.353042513	XZ	1.40E-05	0.001137047	25	5	Firmicutes	Peptostreptococcaceae	Unknow	Clostridiales
XZ3.bin090	1921.2	9925.6	5.166354362	2.369146602	XZ	0.000266655	0.004154594	25	5	Firmicutes	CAG-74	Unknow	Christensenellales
XZ4.bin086	3979.04	20975.8	5.271573043	2.398233528	XZ	0.001164863	0.007795886	25	5	Firmicutes	Ruminococcaceae	Unknow	Clostridiales
