KO,p_value,p_adj,xz_mean,fxz_mean,foldchange,direction,zs,rzs
K02806,0.006949372609511,0.0330294491078005,2.2178e-05,9.334528e-05,4.20891333754171,-1,2.13172513692291,-2.13172513692291
K02415,0.00116486323382875,0.0113211956581317,1.0172e-05,7.122648e-05,7.00220998820291,-1,2.53262512332187,-2.53262512332187
K03409,0.000842069807587049,0.00898898015913279,1.2332e-05,6.087248e-05,4.93614012325657,-1,2.61247296452743,-2.61247296452743
K00209,0.00220586405901552,0.0164628670077815,7.45e-06,5.054556e-05,6.7846389261745,-1,2.39848908776572,-2.39848908776572
K00302,0.0107925280339073,0.0424850448649632,1.1438e-05,4.951448e-05,4.32894561986361,-1,2.02873739525314,-2.02873739525314
K03562,0.0071435588676968,0.0330294491078005,1.112e-05,4.944412e-05,4.44641366906475,-1,2.13172513692291,-2.13172513692291
K04764,0.00881366398607778,0.0373997893509094,9.746e-06,4.74226e-05,4.86585265750051,-1,2.08137287640961,-2.08137287640961
K01147,0.00356476218545184,0.021847099385977,6.778e-06,4.607872e-05,6.79827677781056,-1,2.29301572952859,-2.29301572952859
K05988,0.00454717696097006,0.0251640515389661,7.7748e-06,4.259224e-05,5.47824252713896,-1,2.23887498490255,-2.23887498490255
K09774,0.00151222659004263,0.0134991373065147,5.152e-06,4.164764e-05,8.08378105590062,-1,2.47032228664212,-2.47032228664212
K06189,0.00890243258160883,0.0373997893509094,6.23e-06,3.976804e-05,6.38331300160514,-1,2.08137287640961,-2.08137287640961
K03732,0.00881366398607778,0.0373997893509094,6.524e-06,3.72298e-05,5.70659104843654,-1,2.08137287640961,-2.08137287640961
K07306,0.00124354129870022,0.0119527264650927,0.0001036196,1.65744e-05,6.2517858866686,1,2.51353692482595,2.51353692482595
K00813,0.00494537748957242,0.0271752318590147,5.7028e-06,3.60108e-05,6.31458231044399,-1,2.20899150391221,-2.20899150391221
K23349,0.00537473210617852,0.028960225009773,8.32022e-05,1.85084e-05,4.49537507293985,1,2.1840275321937,2.1840275321937
K07792,0.00356476218545184,0.021847099385977,5.4404e-06,3.272784e-05,6.01570472759356,-1,2.29301572952859,-2.29301572952859
K07115,0.00638959822663427,0.0314014594609561,3.5746e-06,3.07914e-05,8.61394281877693,-1,2.15194788167789,-2.15194788167789
K03720,0.00356476218545184,0.021847099385977,5.374e-06,2.89364e-05,5.38451804986974,-1,2.29301572952859,-2.29301572952859
K22451,0.0132625150888398,0.0492553673499023,4.902e-06,2.782612e-05,5.67648306813545,-1,1.96637449516598,-1.96637449516598
K12144,0.00890243258160883,0.0373997893509094,6.442e-06,2.632728e-05,4.08681775846011,-1,2.08137287640961,-2.08137287640961
K07323,0.0107925280339073,0.0424850448649632,3.666e-06,2.645056e-05,7.21510092744135,-1,2.02873739525314,-2.02873739525314
K03214,0.00356476218545184,0.021847099385977,5.522e-06,2.582416e-05,4.67659543643607,-1,2.29301572952859,-2.29301572952859
K21969,0.0104549226471039,0.0424850448649632,2.5072e-06,2.600608e-05,10.3725590299936,-1,2.02873739525314,-2.02873739525314
