MAG ID	N50 length	Depth	Completeness	group	group2
AH2.bin186	1239334	45.09	92.7	90	>90
AH2.bin208	1049154	48.57	100	90	>90
XZ1.bin011	768917	171.52	93.15	90	>90
JL2.bin064	768057	35.9	76.05	70	>70
JL1.bin062	693744	57.81	93.72	90	>90
JL5.bin126	693563	88.9	72.02	70	>70
AH4.bin088	687144	25.37	82.12	80	>80
SD2.bin124	681998	31.06	73.17	70	>70
XZ2.bin107	637116	113.23	98.98	90	>90
JL4.bin144	617335	1725.28	82.35	80	>80
AH4.bin016	608110	23.42	78.91	70	>70
JL2.bin166	606811	119.62	89.89	80	>80
SX5.bin023	559716	30.3	89.89	80	>80
AH3.bin143	488910	104.46	97.6	90	>90
AH1.bin105	486078	25.06	86.81	80	>80
SX1.bin064	468101	47.03	82.42	80	>80
XZ4.bin051	459872	34.12	89.9	80	>80
SD3.bin126	457936	67.03	92.13	90	>90
SD1.bin018	440866	53.23	86.78	80	>80
GX2.bin093	438527	84.08	98.08	90	>90
JL4.bin079	414093	95.29	98.95	90	>90
JL1.bin141	398792	1094.08	96.51	90	>90
GX4.bin079	397670	957.8	78.92	70	>70
SX1.bin105	392929	222.85	97.6	90	>90
AH3.bin172	388084	200.01	77.42	70	>70
JL1.bin156	382646	51.17	99.22	90	>90
AH5.bin051	378245	86.16	94.82	90	>90
SD3.bin017	371821	32.3	90.32	90	>90
SX5.bin001	366419	154.12	89.84	80	>80
SD5.bin144	365570	32.78	100	90	>90
AH5.bin116	351655	122.26	89.89	80	>80
SD3.bin058	349011	91.57	92.13	90	>90
JL3.bin058	339643	24.02	95.04	90	>90
JL5.bin162	339318	22.97	99.46	90	>90
GX5.bin004	335218	20.59	94.39	90	>90
SD4.bin131	333997	29.81	96.63	90	>90
JL1.bin052	333665	30.16	96.63	90	>90
XZ2.bin127	330605	32.56	98.66	90	>90
JL4.bin026	327128	40.68	90.79	90	>90
AH5.bin084	322977	229.77	98.98	90	>90
AH1.bin125	318967	79.66	98.07	90	>90
JL1.bin048	316437	22.81	92.13	90	>90
JL5.bin012	313486	19.05	81.67	80	>80
SX1.bin082	309974	147.26	91.17	90	>90
GX4.bin043	309376	43.18	91.89	90	>90
XZ3.bin104	309003	350.04	97.73	90	>90
AH3.bin059	308138	22.24	74.6	70	>70
JL3.bin110	306841	24.68	99.46	90	>90
AH1.bin032	303244	78.36	90.9	90	>90
AH4.bin001	298711	32.3	72.42	70	>70
JL3.bin101	296131	34.44	94.56	90	>90
XZ2.bin034	295471	37.44	89.61	80	>80
SD1.bin172	294849	82.28	96.63	90	>90
JL1.bin177	294393	38.49	93.23	90	>90
GX4.bin066	293105	72.94	93.76	90	>90
JL4.bin069	292119	27.61	88.74	80	>80
SD3.bin149	288049	40.73	89.93	80	>80
SD4.bin114	284805	43.72	77.48	70	>70
XZ3.bin071	280692	81.02	88.33	80	>80
SD3.bin172	279604	55.74	80.32	80	>80
SD5.bin019	278365	118.8	90.45	90	>90
SX2.bin168	277081	584.53	90.59	90	>90
AH3.bin053	272866	49.05	96.63	90	>90
GX1.bin157	272168	43.31	94.41	90	>90
GX4.bin033	266989	150.09	99.88	90	>90
GX3.bin147	266106	53.96	79.53	70	>70
AH3.bin185	261925	28.04	80.07	80	>80
JL3.bin057	258029	222.13	83.61	80	>80
GX4.bin018	257629	32.13	91.01	90	>90
AH2.bin040	256997	27.33	89.33	80	>80
AH3.bin046	248964	47.36	80.07	80	>80
JL4.bin055	247571	25.05	80.29	80	>80
AH1.bin140	246371	54.95	88.89	80	>80
AH1.bin143	245144	33.44	89.89	80	>80
SD5.bin046	243776	20.75	98.65	90	>90
SX1.bin081	242145	67.36	89.31	80	>80
JL2.bin079	239591	56.15	88.89	80	>80
SD5.bin027	238740	97.15	89.69	80	>80
JL2.bin172	237682	31.53	95.97	90	>90
JL2.bin074	237484	57.02	98.04	90	>90
AH3.bin005	236491	58.09	95.53	90	>90
XZ3.bin115	234738	33.11	80.97	80	>80
SD3.bin130	233375	20.55	99.46	90	>90
XZ5.bin038	232281	169.28	83.53	80	>80
JL3.bin088	232147	109.56	98.77	90	>90
XZ4.bin133	231270	73.98	81.35	80	>80
SX2.bin018	230847	39.64	79.87	70	>70
SD3.bin056	230125	512.24	81.83	80	>80
JL5.bin097	227386	93.23	87.02	80	>80
AH5.bin168	226247	74.59	99.33	90	>90
GX2.bin150	225214	92.17	96.63	90	>90
JL4.bin156	224897	50.74	93.78	90	>90
SD4.bin149	224571	29.08	88.73	80	>80
JL5.bin088	224474	30.94	99.88	90	>90
SD5.bin128	224222	44.24	75.35	70	>70
JL1.bin011	223841	123.84	72.36	70	>70
SX3.bin126	222958	48.12	89.89	80	>80
AH4.bin020	222430	26.6	91.53	90	>90
SD1.bin066	221892	327.61	72.57	70	>70
AH1.bin101	219651	68.23	93.68	90	>90
SD3.bin113	219264	43.92	75.57	70	>70
SD4.bin103	219247	365.47	71	70	>70
GX4.bin070	218866	290.5	91.22	90	>90
SX1.bin059	218290	38.87	78.01	70	>70
SD2.bin036	217892	35.42	77.56	70	>70
SD5.bin055	216667	50.91	96.55	90	>90
AH3.bin030	215984	25.36	76.88	70	>70
AH4.bin188	215155	139.12	96.24	90	>90
AH1.bin011	213553	26.08	71.14	70	>70
JL1.bin125	213546	54.27	95.07	90	>90
XZ1.bin149	211357	71.85	77.55	70	>70
SD3.bin148	211315	42.6	89.78	80	>80
JL1.bin161	209803	24.67	72.55	70	>70
SD1.bin157	209260	294.84	82.61	80	>80
SD3.bin151	208890	65.72	81.54	80	>80
SX3.bin147	208607	53.56	73.99	70	>70
SD2.bin070	206705	208.75	72.84	70	>70
SX3.bin086	206329	117.84	97.31	90	>90
AH5.bin048	206185	27.52	100	90	>90
GX1.bin096	205795	33.54	82.5	80	>80
JL2.bin135	205547	24.77	90.88	90	>90
SD2.bin148	205192	32.06	91.78	90	>90
SX2.bin020	205143	45.31	88.56	80	>80
GX1.bin057	204346	104.71	90.16	90	>90
JL2.bin008	204227	98.08	99.88	90	>90
XZ1.bin027	202813	30.6	76.13	70	>70
SX2.bin132	202361	179	80.38	80	>80
XZ4.bin145	201203	46.5	98.08	90	>90
JL2.bin005	200723	143.83	93.81	90	>90
XZ1.bin024	199887	94.42	87.5	80	>80
JL3.bin051	199804	59.17	84.03	80	>80
SD4.bin020	199632	29.05	98.08	90	>90
GX3.bin012	197242	118	98.66	90	>90
AH4.bin189	196913	88.51	82.85	80	>80
GX1.bin129	196642	128.22	98.81	90	>90
XZ1.bin097	196396	29.69	93.83	90	>90
SD5.bin145	195980	23.44	97.5	90	>90
AH5.bin058	195719	26.45	80.11	80	>80
JL2.bin171	195574	37.95	84.17	80	>80
XZ3.bin125	195190	90.3	86.89	80	>80
JL5.bin116	193737	230.23	87.96	80	>80
JL5.bin139	192948	34.42	95.4	90	>90
XZ4.bin162	192627	19.15	79.66	70	>70
GX5.bin123	192397	81.22	82.5	80	>80
GX4.bin026	192395	67.73	82.5	80	>80
SD1.bin166	191768	38.86	99.33	90	>90
SX3.bin036	191290	50.58	93.17	90	>90
AH1.bin171	190781	24.48	82.5	80	>80
SX2.bin161	190743	53.32	93.71	90	>90
JL2.bin140	190532	21.51	95.65	90	>90
SD5.bin060	189155	32.46	96.07	90	>90
JL4.bin120	188895	583.8	82.21	80	>80
AH4.bin131	188264	22.95	83.67	80	>80
JL2.bin137	188090	80.33	87.02	80	>80
GX3.bin142	187839	140.14	96.87	90	>90
SD3.bin177	187698	123.91	83.02	80	>80
AH4.bin147	187507	75.25	99.51	90	>90
AH2.bin196	187484	68.91	99.51	90	>90
AH3.bin132	187484	48.02	99.51	90	>90
AH1.bin141	187453	30.38	99.22	90	>90
SD4.bin181	185933	25.01	94.09	90	>90
XZ4.bin066	185887	23.92	76.32	70	>70
XZ5.bin035	185581	20.27	97.99	90	>90
SD1.bin009	185498	27.94	93.4	90	>90
SX2.bin100	185143	29.61	91.97	90	>90
SX2.bin122	183860	116.02	87.95	80	>80
JL5.bin105	182915	218.97	89.9	80	>80
XZ1.bin004	182410	89.9	78.89	70	>70
AH5.bin071	182022	66.95	86.4	80	>80
SX1.bin065	181827	212.61	86.3	80	>80
XZ1.bin088	180893	33.2	78.5	70	>70
AH3.bin197	180582	134.62	96.98	90	>90
JL2.bin143	180364	25.58	90.45	90	>90
SD2.bin057	180065	81.9	94.25	90	>90
AH4.bin152	179743	50.02	79.29	70	>70
SD3.bin071	179494	86.21	91.89	90	>90
XZ5.bin001	179478	79.31	94.9	90	>90
AH3.bin015	179195	84.9	85.63	80	>80
JL1.bin186	178364	96.12	76.54	70	>70
SD3.bin189	177340	92.3	97.73	90	>90
SD1.bin020	175474	36.13	93.24	90	>90
XZ2.bin001	175267	35.16	98.8	90	>90
SD5.bin097	175179	35.21	96.65	90	>90
XZ4.bin084	174761	107.92	96.39	90	>90
GX4.bin072	174211	75.44	89.01	80	>80
SD2.bin155	173908	190.44	75.17	70	>70
XZ1.bin177	173634	99.85	83.81	80	>80
SD1.bin184	173418	23.6	79.78	70	>70
SD3.bin152	173128	43.63	92.7	90	>90
SX2.bin107	172919	66.85	89.01	80	>80
SD1.bin013	172357	67.07	96.2	90	>90
GX2.bin140	172273	156.63	93.02	90	>90
AH1.bin129	172209	33.06	82.5	80	>80
JL2.bin035	170956	24.88	88.2	80	>80
JL2.bin156	170328	29.72	96.55	90	>90
XZ4.bin005	170003	42.02	97.36	90	>90
